# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

49WA19960516,19960516,1526,34.86000,140.82500,2000.90000,1977.00000,1.98310,1.84697,34.58630,75.70000,42.82000,-9999.00000,2.88000,2375.00000,2414.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,1751.70000,1732.00000,2.19420,2.07574,34.54590,59.80000,43.43000,-9999.00000,2.96000,2384.00000,2410.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,1500.40000,1484.00000,2.42770,2.32661,34.49910,48.40000,43.75000,-9999.00000,2.98000,2389.00000,2400.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,1249.70000,1237.00000,2.71710,2.63266,34.45000,46.40000,43.30000,-9999.00000,2.96000,2377.00000,2384.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,1000.20000,991.00000,3.30510,3.23503,34.36780,50.70000,42.14000,-9999.00000,2.92000,2359.00000,2369.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,899.60000,891.00000,3.62610,3.56159,34.32500,55.50000,41.94000,-9999.00000,2.89000,2350.00000,2362.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,799.80000,793.00000,4.33220,4.27109,34.30420,67.60000,39.87000,-9999.00000,2.74000,2325.00000,2348.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,699.80000,694.00000,4.81880,4.76323,34.29480,75.80000,37.23000,-9999.00000,2.62000,2308.00000,2340.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,599.20000,594.00000,5.60330,5.55262,34.21790,96.30000,35.64000,-9999.00000,2.44000,2278.00000,2325.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,501.10000,497.00000,7.60270,7.55303,34.26340,120.30000,31.99000,-9999.00000,2.21000,2242.00000,2312.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,541.20000,537.00000,6.43910,6.39009,34.22400,109.90000,29.67000,-9999.00000,1.95000,2223.00000,2304.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,399.00000,396.00000,9.41940,9.37471,34.31400,143.70000,23.32000,-9999.00000,1.57000,2179.00000,2294.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,298.60000,296.00000,14.47140,14.42730,34.59790,181.90000,11.74000,-9999.00000,0.74000,2082.00000,2281.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,248.40000,246.00000,16.21840,16.17870,34.70540,193.20000,8.25000,-9999.00000,0.48000,2055.00000,2284.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,199.40000,198.00000,17.50620,17.47260,34.82240,200.60000,5.77000,-9999.00000,0.30000,2037.00000,2288.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,174.90000,174.00000,17.85770,17.82790,34.75600,201.40000,5.10000,-9999.00000,0.27000,2025.00000,2284.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,150.50000,149.00000,18.40750,18.38130,34.82200,199.20000,4.84000,-9999.00000,0.23000,2024.00000,2285.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,125.20000,124.00000,19.20680,19.18430,34.88100,196.40000,3.66000,-9999.00000,0.21000,2021.00000,2289.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,99.90000,99.00000,19.56780,19.54970,34.81990,201.60000,2.81000,-9999.00000,0.17000,2012.00000,2286.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,74.80000,74.00000,20.00950,19.99570,34.75870,205.60000,2.57000,-9999.00000,0.15000,2008.00000,2287.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,50.10000,50.00000,20.66490,20.65550,34.76790,208.90000,1.28000,-9999.00000,0.05000,1992.00000,2284.00000,-9999.00000,-9999.00000
49WA19960516,19960516,1526,34.86000,140.82500,30.30000,30.00000,20.97270,20.96690,34.74040,219.50000,0.00000,-9999.00000,0.01000,1975.00000,2282.00000,-9999.00000,-9999.00000
49WA19960516,19960516,2341,34.49730,141.49500,2002.20000,1978.00000,2.04950,1.91229,34.57530,71.10000,42.82000,-9999.00000,2.91000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49WA19960516,19960516,2341,34.49730,141.49500,1750.40000,1731.00000,2.24160,2.12262,34.54040,58.50000,43.24000,-9999.00000,2.96000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49WA19960516,19960516,2341,34.49730,141.49500,1500.20000,1484.00000,2.52290,2.42074,34.49240,49.50000,42.93000,-9999.00000,3.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49WA19960516,19960516,2341,34.49730,141.49500,1249.00000,1236.00000,3.05720,2.96958,34.42310,48.00000,43.45000,-9999.00000,2.96000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49WA19960516,19960516,2341,34.49730,141.49500,1000.00000,990.00000,3.99750,3.92213,34.33500,62.80000,40.08000,-9999.00000,2.80000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49WA19960516,19960516,2341,34.49730,141.49500,900.00000,892.00000,4.64400,4.57245,34.27400,75.00000,38.96000,-9999.00000,2.68000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49WA19960516,19960516,2341,34.49730,141.49500,800.10000,793.00000,5.63650,5.56743,34.25190,91.30000,35.38000,-9999.00000,2.46000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49WA19960516,19960516,2341,34.49730,141.49500,711.20000,705.00000,6.40540,6.34044,34.13770,122.20000,32.15000,-9999.00000,2.19000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49WA19960516,19960516,2341,34.49730,141.49500,699.90000,694.00000,7.17430,7.10629,34.21680,121.20000,30.56000,-9999.00000,2.05000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49WA19960516,19960516,2341,34.49730,141.49500,600.70000,596.00000,9.33830,9.27069,34.24870,155.60000,22.59000,-9999.00000,1.54000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49WA19960516,19960516,2341,34.49730,141.49500,501.10000,497.00000,11.80460,11.73950,34.39900,168.50000,17.10000,-9999.00000,1.16000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49WA19960516,19960516,2341,34.49730,141.49500,400.90000,398.00000,14.91890,14.85820,34.62010,183.50000,10.56000,-9999.00000,0.69000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49WA19960516,19960516,2341,34.49730,141.49500,300.70000,298.00000,16.90590,16.85640,34.78280,197.60000,5.81000,-9999.00000,0.37000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49WA19960516,19960516,2341,34.49730,141.49500,249.10000,247.00000,17.97930,17.93650,34.88330,210.60000,3.10000,-9999.00000,0.17000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49WA19960516,19960516,2341,34.49730,141.49500,201.00000,199.00000,18.44340,18.40830,34.89380,207.20000,5.13000,-9999.00000,0.20000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49WA19960516,19960516,2341,34.49730,141.49500,175.20000,174.00000,18.58160,18.55090,34.87740,206.00000,3.24000,-9999.00000,0.18000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49WA19960516,19960516,2341,34.49730,141.49500,149.90000,149.00000,18.91050,18.88390,34.90540,212.20000,2.11000,-9999.00000,0.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49WA19960516,19960516,2341,34.49730,141.49500,126.00000,125.00000,19.23290,19.21030,34.89350,207.60000,2.70000,-9999.00000,0.13000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49WA19960516,19960516,2341,34.49730,141.49500,101.50000,101.00000,19.73410,19.71550,34.88810,209.10000,3.13000,-9999.00000,0.12000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
