# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

49XK19971129,19971210,0038,0.00330,143.31300,10.00000,10.00000,29.82000,29.81750,34.65500,197.50000,0.10000,1.10000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971210,0038,0.00330,143.31300,20.00000,20.00000,29.71000,29.70510,34.66900,197.23300,0.10000,1.40000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971210,0038,0.00330,143.31300,30.00000,30.00000,29.08000,29.07270,34.85000,198.30000,0.10000,1.50000,0.00000,1928.40000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971210,0038,0.00330,143.31300,40.00000,40.00000,28.32000,28.31050,34.97600,200.60000,0.10000,1.30000,0.02000,1934.20000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971210,0038,0.00330,143.31300,50.00000,50.00000,27.79000,27.77830,35.00500,202.70000,0.10000,0.90000,0.06000,1953.00000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971210,0038,0.00330,143.31300,60.00000,60.00000,26.82000,26.80630,34.92800,199.30000,0.10000,0.90000,0.06000,1961.90000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971210,0038,0.00330,143.31300,70.00000,70.00000,26.23000,26.21430,34.95200,198.40000,0.10000,0.90000,0.07000,1966.20000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971210,0038,0.00330,143.31300,80.00000,80.00000,25.16000,25.14260,35.07800,183.00000,1.50000,1.80000,0.17000,1985.00000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971210,0038,0.00330,143.31300,90.00000,89.00000,23.21000,23.19150,35.10900,165.10000,5.40000,2.90000,0.38000,2022.30000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971210,0038,0.00330,143.31300,100.00000,99.00000,22.67000,22.64980,35.21200,157.70000,6.80000,3.10000,0.47000,2038.10000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971210,0038,0.00330,143.31300,110.00000,109.00000,21.48000,21.45860,35.21400,159.50000,7.20000,4.00000,0.49000,2046.90000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971210,0038,0.00330,143.31300,120.00000,119.00000,21.34000,21.31670,35.38300,151.60000,8.50000,4.40000,0.58000,2060.20000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971210,0038,0.00330,143.31300,130.00000,129.00000,19.78000,19.75610,35.43500,138.20000,11.00000,4.30000,0.83000,2094.80000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971210,0038,0.00330,143.31300,140.00000,139.00000,18.18000,18.15580,35.13200,143.40000,11.20000,5.90000,0.81000,2091.90000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971212,0014,0.00500,150.00200,9.00000,9.00000,29.80000,29.79780,34.66800,196.30000,0.00000,1.20000,0.00000,1925.40000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971212,0014,0.00500,150.00200,19.00000,19.00000,29.79000,29.78530,34.66900,196.80000,0.00000,1.40000,0.00000,1925.50000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971212,0014,0.00500,150.00200,29.00000,29.00000,29.75000,29.74290,34.67900,197.50000,0.00000,1.40000,0.00000,1925.60000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971212,0014,0.00500,150.00200,38.00000,38.00000,29.04000,29.03080,34.86600,204.00000,0.00000,1.30000,0.03000,1942.80000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971212,0014,0.00500,150.00200,48.00000,48.00000,28.63000,28.61850,35.04000,204.30000,0.00000,1.40000,0.04000,1952.10000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971212,0014,0.00500,150.00200,57.00000,57.00000,28.04000,28.02660,35.11400,204.00000,0.00000,2.00000,0.07000,1966.50000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971212,0014,0.00500,150.00200,67.00000,67.00000,27.56000,27.54440,35.29800,175.90000,2.70000,5.60000,0.29000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971212,0014,0.00500,150.00200,76.00000,76.00000,26.08000,26.06300,35.39300,169.80000,3.20000,2.30000,0.32000,2017.20000,-9999.00000,-9999.00000,-9999.00000
49XK19971129,19971212,0014,0.00500,150.00200,53.00000,53.00000,28.31000,28.29740,35.07800,202.20000,0.00000,1.90000,0.07000,1959.50000,-9999.00000,-9999.00000,-9999.00000
