# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

58AA19950217,19950224,0000,74.98170,-9.55300,5.70000,5.60113,-0.19100,-0.19119,34.89900,331.17000,-9999.00000,-9999.00000,0.82000,-9999.00000,-9999.00000,5.07100,-9999.00000
58AA19950217,19950224,0000,74.98170,-9.55300,12.20000,12.02340,-0.19400,-0.19441,34.90800,326.39000,-9999.00000,-9999.00000,0.83000,-9999.00000,-9999.00000,5.52200,-9999.00000
58AA19950217,19950224,0000,74.98170,-9.55300,21.50000,21.27560,-0.18300,-0.18374,34.90000,325.52000,-9999.00000,-9999.00000,0.80000,-9999.00000,-9999.00000,5.08200,-9999.00000
58AA19950217,19950224,0000,74.98170,-9.55300,30.60000,30.28980,-0.18100,-0.18205,34.89900,326.82000,-9999.00000,-9999.00000,0.88000,-9999.00000,-9999.00000,5.57700,-9999.00000
58AA19950217,19950224,0000,74.98170,-9.55300,48.70000,48.22800,-0.18800,-0.18968,34.89900,326.39000,-9999.00000,-9999.00000,0.83000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58AA19950217,19950224,0000,74.98170,-9.55300,75.30000,74.46470,-0.20800,-0.21060,34.89700,-9999.00000,-9999.00000,-9999.00000,0.83000,-9999.00000,-9999.00000,5.44500,-9999.00000
58AA19950217,19950224,0000,74.98170,-9.55300,108.90000,107.74000,-0.33000,-0.33368,34.89600,328.56000,-9999.00000,-9999.00000,0.83000,-9999.00000,-9999.00000,5.06000,-9999.00000
58AA19950217,19950224,0000,74.98170,-9.55300,210.50000,208.24700,-0.35800,-0.36527,34.89700,325.95000,-9999.00000,-9999.00000,0.83000,-9999.00000,-9999.00000,5.48900,-9999.00000
58AA19950217,19950224,0000,74.98170,-9.55300,405.40000,400.74700,-0.55400,-0.56804,34.89000,325.52000,-9999.00000,-9999.00000,0.85000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58AA19950217,19950224,0000,74.98170,-9.55300,605.40000,600.00000,-9999.00000,-9999.00000,34.87900,326.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58AA19950217,19950224,0000,74.98170,-9.55300,706.50000,700.00000,-9999.00000,-9999.00000,34.88700,322.60000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58AA19950217,19950224,0000,74.98170,-9.55300,807.60000,800.00000,-9999.00000,-9999.00000,34.89100,309.90000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58AA19950217,19950224,0000,74.98170,-9.55300,1009.90000,1000.00000,-9999.00000,-9999.00000,34.90200,303.40000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58AA19950217,19950224,0000,74.98170,-9.55300,1313.80000,1300.00000,-9999.00000,-9999.00000,34.90900,300.80000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58AA19950217,19950224,0000,74.98170,-9.55300,1516.60000,1500.00000,-9999.00000,-9999.00000,34.90900,303.40000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58AA19950217,19950224,0000,74.98170,-9.55300,1821.20000,1800.00000,-9999.00000,-9999.00000,34.90900,302.50000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
