# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

58GS20030922,20030922,0000,70.50630,20.00520,130.00000,128.63900,8.25360,8.24035,34.50100,273.69100,7.02000,2.88000,0.52920,2111.27000,2294.18000,4.64000,2.40350
58GS20030922,20030922,0000,70.50630,20.00520,101.00000,99.94990,8.48540,8.47496,34.40200,274.55200,6.42000,2.66000,0.48600,2107.42000,2291.34000,4.52000,2.49850
58GS20030922,20030922,0000,70.50630,20.00520,77.00000,76.20380,8.88740,8.87923,34.36300,275.47200,4.61000,2.18000,0.33480,2093.59000,2292.61000,4.34000,2.17550
58GS20030922,20030922,0000,70.50630,20.00520,51.00000,50.47580,9.73330,9.72758,34.29400,272.59900,3.74000,1.96000,0.29160,2082.62000,2281.46000,4.36000,2.15650
58GS20030922,20030922,0000,70.50630,20.00520,29.00000,28.70350,9.78770,9.78445,33.96000,275.45600,2.14000,1.60000,0.21600,2065.86000,2270.40000,4.19000,2.15650
58GS20030922,20030922,0000,70.50630,20.00520,20.00000,19.79590,9.95970,9.95744,33.89200,276.24300,1.69000,1.45000,0.18360,2059.79000,2270.99000,4.17000,2.29900
58GS20030922,20030922,0000,70.50630,20.00520,11.00000,10.88800,9.97220,9.97096,33.89000,275.61700,1.60000,1.41000,0.17280,2059.93000,2270.01000,4.00000,2.20400
58GS20030922,20030922,0000,70.50630,20.00520,4.00000,3.95934,9.98680,9.98635,33.88700,275.34200,1.60000,1.41000,0.16200,2058.94000,2226.96000,4.09000,2.20400
58GS20030922,20030922,0000,71.00050,19.90350,168.00000,166.22200,6.93900,6.92334,35.10600,274.40200,11.33000,4.60000,0.75600,2142.18000,-9999.00000,4.42000,2.49850
58GS20030922,20030922,0000,71.00050,19.90350,148.00000,146.44000,6.99910,6.98526,35.11000,274.80900,11.33000,4.38000,0.75600,2139.03000,2309.73000,4.50000,2.58400
58GS20030922,20030922,0000,71.00050,19.90350,100.00000,98.95770,7.52600,7.51629,35.05100,276.43800,9.89000,3.57000,0.63720,2133.49000,2311.89000,4.52000,-9999.00000
58GS20030922,20030922,0000,71.00050,19.90350,75.00000,74.22270,7.65940,7.65206,34.94300,276.20000,9.07000,3.28000,0.58320,2128.29000,2308.36000,4.40000,2.34650
58GS20030922,20030922,0000,71.00050,19.90350,49.00000,48.49530,8.48080,8.47574,34.55000,277.37000,6.16000,2.33000,0.37800,2103.75000,2295.45000,4.17000,2.24200
58GS20030922,20030922,0000,71.00050,19.90350,32.00000,31.67170,8.94940,8.94600,34.21100,286.94400,1.32000,0.71000,0.11880,2066.69000,2285.96000,4.00000,2.07100
58GS20030922,20030922,0000,71.00050,19.90350,18.00000,17.81590,8.94790,8.94599,34.21100,286.53800,1.23000,0.68000,0.09720,2066.94000,-9999.00000,3.86000,2.15650
58GS20030922,20030922,0000,71.00050,19.90350,10.00000,9.89793,8.94190,8.94084,34.21000,285.95100,1.23000,0.42000,0.07560,2066.03000,2271.28000,3.58000,1.94750
58GS20030922,20030922,0000,71.00050,19.90350,5.00000,4.94902,8.93780,8.93727,34.21000,285.84700,1.23000,0.35000,0.07560,2065.68000,-9999.00000,3.84000,2.16600
58GS20030922,20030922,0000,71.49620,19.79280,222.00000,219.61500,6.53690,6.51678,35.17300,280.01600,12.12000,4.67000,0.82080,2143.01000,2313.45000,4.47000,2.52700
