BOTTLE,20131108PRINUNIVRMK
# 6/24/11 Initialized README file  
# Data source: R. Bellerby 4/15/2011  
# SHIP: G.O. Sars 
# Cruise: ; CARBOOCEAN/MERCLIM/BIAC 
# Region: Nordic Seas and Fram Strait 
# EXPOCODE: 58GS20090528 
# DATES: 5/28-8/11/2009  
# Chief Scientist: (3 legs) H.Soiland, F.Thingstad, T.Johannessen 
# 190 stations with 24 place Rosette 
# Hydro: Who - Kjell Arne Mork; Status - final 
# 	Notes: 	 
# 	CTD was not stopped for sampling on stations 301-327 
# 	CTD files submitted for ARGO 
# Nuts/O2: Who - L.F. Lund & K. Brown; Status - final; S Plus - up to date 
# 	Notes: oxygen converted from ml/L using draw temperature 
# 	Nutrients converted from umol/L using assumed temperature of 22C 
# TCO2: Who - R.Bellerby & A.Olsen; Status - final 
# 	Notes:  
# TA: Who - R. Bellerby & A.Olsen; Status - final 
# 	Notes: Data are rather noisy 
# CFC: Who: E.Jenssen; Status - final 
# 	Notes: includes SF6 
# Chloroa & Phaeophytn (mg/m^3) 
# References: 
# Please, site these data as: 
# Johannessen T., S¿iland H., Thingstad T.F., Bellerby R., Olsen A. 2011. G.O. Sars 58GS20090528; (CARBOOCEAN/MERCLIM/BIAC) cruise data 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,CHLORA,CHLORA_FLAG_W,PHAEO,PHAEO_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,UG/KG,,UG/KG,,DEG C
  58GS20090528,   GIN,   206,  1,      1,2,20090531,0547, 68.4300,  14.0170,  143,    101.5,   6.2210,  34.2738,2,-999.0000,9,   -999.0,9,     3.30,2,     7.55,2,     0.14,2,     0.56,2, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,     0.08,2,     0.35,2,   6.2123
  58GS20090528,   GIN,   206,  1,      2,2,20090531,0547, 68.4300,  14.0170,  143,    102.1,   6.2210,  34.2888,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   6.2122
  58GS20090528,   GIN,   206,  1,      3,2,20090531,0547, 68.4300,  14.0170,  143,    101.2,   6.2220,  34.2779,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   6.2133
  58GS20090528,   GIN,   206,  1,      4,2,20090531,0547, 68.4300,  14.0170,  143,    102.1,   6.2220,  34.2950,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   6.2132
  58GS20090528,   GIN,   206,  1,      5,2,20090531,0547, 68.4300,  14.0170,  143,    100.2,   6.2200,  34.2763,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   6.2114
  58GS20090528,   GIN,   206,  1,      6,2,20090531,0547, 68.4300,  14.0170,  143,    102.3,   6.2220,  34.2871,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   6.2132
  58GS20090528,   GIN,   206,  1,      7,2,20090531,0547, 68.4300,  14.0170,  143,    102.3,   6.2210,  34.2791,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   6.2122
  58GS20090528,   GIN,   206,  1,      8,2,20090531,0547, 68.4300,  14.0170,  143,    101.6,   6.2200,  34.2769,2,-999.0000,9,    287.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   2128.6,2,   2288.9,2,  -999.00,9,  -999.00,9,   6.2113
  58GS20090528,   GIN,   206,  1,      9,2,20090531,0547, 68.4300,  14.0170,  143,     76.2,   6.4650,  34.1011,2,-999.0000,9,    291.8,2,     2.94,2,     6.39,2,     0.22,2,     0.55,2, -999.000,9, -999.000,9,       -999,9,   2120.1,2,   2282.3,2,     0.26,2,     0.40,2,   6.4583
