# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

58JH19930730,19930730,0000,71.08120,23.00550,2.00000,1.97961,10.60300,10.60280,34.17400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,5.00000,4.94900,10.62300,10.62240,34.19710,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,10.00000,9.89788,10.29700,10.29580,34.10330,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,15.00000,14.84660,9.95100,9.94930,34.15680,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,20.00000,19.79530,10.07200,-9999.00000,34.23890,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,25.00000,24.74380,8.02800,8.02552,34.30490,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,30.00000,29.69220,7.87800,7.87505,34.33280,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,35.00000,34.64050,7.63000,7.62663,34.36560,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,40.00000,39.58860,7.46800,7.46419,34.41950,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,45.00000,44.53670,7.10000,7.09583,34.48680,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,50.00000,49.48460,6.78800,6.78347,34.64260,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,55.00000,54.43240,6.50100,6.49614,34.67430,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,60.00000,59.38010,6.31300,6.30777,34.75150,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,65.00000,64.32760,6.34600,6.34032,34.79700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,70.00000,69.27510,6.32500,6.31888,34.81590,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,75.00000,74.22240,6.32600,6.31944,34.84260,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,80.00000,79.16960,6.34500,6.33799,34.86540,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,85.00000,84.11670,6.32400,6.31656,34.87770,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,90.00000,89.06370,6.19300,6.18520,34.90630,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,95.00000,94.01050,6.16700,6.15879,34.90000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,100.00000,98.95720,6.08500,6.07641,34.91990,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,120.00000,118.74300,5.85300,5.84288,34.97380,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58JH19930730,19930730,0000,71.08120,23.00550,140.00000,138.52700,5.81500,5.80321,34.98810,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
