# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

58JM20040724,20040724,0000,82.22700,29.44400,1.50000,1.00000,-1.79600,-1.79603,33.18000,-9999.00000,5.37000,2.18000,0.42000,2026.70000,2202.60000,-9999.00000,-9999.00000
58JM20040724,20040724,0000,82.22700,29.44400,6.40000,6.00000,-1.80600,-1.80611,33.16000,-9999.00000,5.53000,2.43000,0.41000,2029.40000,2200.50000,-9999.00000,-9999.00000
58JM20040724,20040724,0000,82.22700,29.44400,12.10000,12.00000,-1.82200,-1.82221,33.44000,-9999.00000,6.30000,2.43000,0.46000,2064.60000,2237.20000,-9999.00000,-9999.00000
58JM20040724,20040724,0000,82.22700,29.44400,22.10000,22.00000,-1.83000,-1.83040,33.87000,-9999.00000,6.72000,2.62000,0.51000,2080.50000,2241.50000,-9999.00000,-9999.00000
58JM20040724,20040724,0000,82.22700,29.44400,32.10000,32.00000,-1.88000,-1.88058,34.06000,-9999.00000,7.18000,2.59000,0.52000,2092.40000,2254.20000,-9999.00000,-9999.00000
58JM20040724,20040724,0000,82.22700,29.44400,42.30000,42.00000,-1.86200,-1.86278,34.10000,-9999.00000,8.50000,4.80000,0.61000,2101.60000,2253.50000,-9999.00000,-9999.00000
58JM20040724,20040724,0000,82.22700,29.44400,51.90000,51.00000,-1.84900,-1.84997,34.14000,-9999.00000,8.12000,3.14000,0.65000,2105.00000,2256.40000,-9999.00000,-9999.00000
58JM20040724,20040724,0000,82.22700,29.44400,62.30000,62.00000,-1.81600,-1.81719,34.21000,-9999.00000,8.90000,3.85000,0.59000,2108.50000,2257.30000,-9999.00000,-9999.00000
58JM20040724,20040724,0000,82.22700,29.44400,92.50000,91.00000,-0.45600,-0.45891,34.31000,-9999.00000,-9999.00000,2.90000,0.63000,2114.70000,-9999.00000,-9999.00000,-9999.00000
58JM20040724,20040724,0000,82.22700,29.44400,152.80000,151.00000,2.48600,2.47721,34.80000,-9999.00000,11.38000,4.13000,0.73000,2141.00000,-9999.00000,-9999.00000,-9999.00000
58JM20040724,20040724,0000,82.22700,29.44400,202.60000,200.00000,2.70400,2.69188,34.87000,-9999.00000,11.78000,4.38000,0.73000,2144.20000,-9999.00000,-9999.00000,-9999.00000
58JM20040724,20040726,0000,79.23300,28.44800,1.10000,1.00000,-0.25300,-0.25303,30.54000,-9999.00000,0.00000,1.59000,0.04000,1957.00000,2200.80000,-9999.00000,-9999.00000
58JM20040724,20040726,0000,79.23300,28.44800,6.40000,6.00000,-1.47400,-1.47412,32.97000,-9999.00000,2.68000,2.81000,0.24000,2049.60000,2236.10000,-9999.00000,-9999.00000
58JM20040724,20040726,0000,79.23300,28.44800,11.20000,11.00000,-1.86700,-1.86719,33.64000,-9999.00000,6.36000,3.09000,0.44000,2081.80000,2235.60000,-9999.00000,-9999.00000
58JM20040724,20040726,0000,79.23300,28.44800,21.50000,21.00000,-1.94300,-1.94336,33.83000,-9999.00000,7.03000,3.17000,0.48000,2090.80000,-9999.00000,-9999.00000,-9999.00000
58JM20040724,20040726,0000,79.23300,28.44800,31.80000,31.00000,-1.92700,-1.92755,33.92000,-9999.00000,8.24000,3.67000,0.57000,2095.90000,2237.70000,-9999.00000,-9999.00000
58JM20040724,20040726,0000,79.23300,28.44800,41.60000,41.00000,-1.80800,-1.80877,33.97000,-9999.00000,8.78000,3.99000,0.65000,2100.90000,2250.90000,-9999.00000,-9999.00000
58JM20040724,20040726,0000,79.23300,28.44800,51.90000,51.00000,-1.67400,-1.67503,34.01000,-9999.00000,9.12005,4.89000,0.61000,2097.00000,2240.30000,-9999.00000,-9999.00000
58JM20040724,20040726,0000,79.23300,28.44800,62.00000,61.00000,-1.05600,-1.05758,34.02000,-9999.00000,9.41000,4.18000,0.61000,2104.90000,2256.60000,-9999.00000,-9999.00000
58JM20040724,20040726,0000,79.23300,28.44800,92.10000,91.00000,-0.57100,-0.57378,34.18000,-9999.00000,10.11000,4.62000,0.67000,2115.20000,2259.60000,-9999.00000,-9999.00000
58JM20040724,20040726,0000,79.23300,28.44800,122.60000,121.00000,0.60100,0.59598,34.41000,-9999.00000,10.61000,4.96000,0.83000,2126.60000,2281.80000,-9999.00000,-9999.00000
58JM20040724,20040726,0000,79.23300,28.44800,151.80000,150.00000,1.59400,1.58645,34.58000,-9999.00000,10.84000,4.92000,0.71000,2133.70000,2291.60000,-9999.00000,-9999.00000
58JM20040724,20040726,0000,79.23300,28.44800,202.90000,201.00000,2.27000,2.25863,34.73000,-9999.00000,11.09000,5.16000,0.74000,2140.70000,2292.90000,-9999.00000,-9999.00000
58JM20040724,20040726,0000,79.23300,28.44800,251.70000,249.00000,2.13600,2.12204,34.80000,-9999.00000,11.86000,6.46000,0.83000,2152.80000,2294.70000,-9999.00000,-9999.00000
58JM20040724,20040726,0000,79.23300,28.44800,291.00000,288.00000,1.98900,1.97313,34.76000,-9999.00000,12.29000,7.35000,0.84000,2156.30000,2293.50000,-9999.00000,-9999.00000
58JM20040724,20040727,0000,79.22700,28.41600,3.30000,3.00000,-1.18800,-1.18807,32.84000,-9999.00000,0.00000,1.25000,0.02000,1926.60000,2177.90000,-9999.00000,-9999.00000
58JM20040724,20040727,0000,79.22700,28.41600,6.00000,6.00000,-1.30200,-1.30213,33.08000,-9999.00000,0.74000,2.04000,0.08000,2010.80000,2216.20000,-9999.00000,-9999.00000
58JM20040724,20040727,0000,79.22700,28.41600,11.10000,11.00000,-1.70100,-1.70120,33.51000,-9999.00000,0.84000,2.53000,0.12000,2025.40000,2225.10000,-9999.00000,-9999.00000
58JM20040724,20040727,0000,79.22700,28.41600,21.50000,21.00000,-1.87200,-1.87238,33.81000,-9999.00000,6.88000,3.39000,0.51000,2089.00000,2246.70000,-9999.00000,-9999.00000
58JM20040724,20040727,0000,79.22700,28.41600,31.60000,31.00000,-1.88000,-1.88056,33.92000,-9999.00000,7.22000,3.33000,0.51000,2091.20000,2240.10000,-9999.00000,-9999.00000
58JM20040724,20040727,0000,79.22700,28.41600,41.50000,41.00000,-1.66600,-1.66682,33.94000,-9999.00000,8.10000,3.41000,0.56000,2097.80000,2246.90000,-9999.00000,-9999.00000
58JM20040724,20040727,0000,79.22700,28.41600,51.80000,51.00000,-1.04300,-1.04431,33.98000,-9999.00000,9.04000,2.16000,0.58000,2104.90000,2250.20000,-9999.00000,-9999.00000
58JM20040724,20040727,0000,79.22700,28.41600,61.30000,61.00000,-0.77500,-0.77671,34.07000,-9999.00000,9.27000,1.84000,0.62000,2112.30000,2253.20000,-9999.00000,-9999.00000
58JM20040724,20040727,0000,79.22700,28.41600,91.90000,91.00000,-0.11100,-0.11416,34.28000,-9999.00000,8.95000,4.59000,0.56000,2123.80000,2264.10000,-9999.00000,-9999.00000
58JM20040724,20040727,0000,79.22700,28.41600,122.10000,121.00000,0.93000,0.92466,34.46000,-9999.00000,10.54000,4.60000,0.66000,2129.60000,2281.60000,-9999.00000,-9999.00000
58JM20040724,20040727,0000,79.22700,28.41600,152.50000,151.00000,1.72500,1.71723,34.62000,-9999.00000,10.92000,5.01000,0.98000,2138.50000,2282.60000,-9999.00000,-9999.00000
58JM20040724,20040727,0000,79.22700,28.41600,204.70000,202.00000,2.27100,2.25952,34.74000,-9999.00000,11.19000,4.80000,0.72000,2139.10000,2292.60000,-9999.00000,-9999.00000
58JM20040724,20040729,0000,79.49600,29.44400,4.80000,5.00000,-0.58900,-0.58913,32.90000,-9999.00000,0.00000,0.88000,0.00000,1937.10000,2189.50000,-9999.00000,-9999.00000
58JM20040724,20040729,0000,79.49600,29.44400,6.80000,7.00000,-0.47000,-0.47019,32.97000,-9999.00000,0.00000,1.33000,0.00000,1962.30000,2203.30000,-9999.00000,-9999.00000
58JM20040724,20040729,0000,79.49600,29.44400,11.90000,12.00000,-0.24900,-0.24936,33.08000,-9999.00000,0.36000,1.20000,0.08000,2012.40000,2227.00000,-9999.00000,-9999.00000
58JM20040724,20040729,0000,79.49600,29.44400,21.90000,22.00000,-1.57400,-1.57444,33.76000,-9999.00000,4.60000,1.74000,0.38000,2071.80000,2237.90000,-9999.00000,-9999.00000
58JM20040724,20040729,0000,79.49600,29.44400,31.90000,32.00000,-1.84900,-1.84957,33.90000,-9999.00000,6.46000,2.48000,0.46000,2085.90000,2236.70000,-9999.00000,-9999.00000
58JM20040724,20040729,0000,79.49600,29.44400,41.60000,41.00000,-1.69600,-1.69681,33.99000,-9999.00000,7.43000,2.82000,0.54000,2092.10000,2246.40000,-9999.00000,-9999.00000
58JM20040724,20040729,0000,79.49600,29.44400,51.50000,51.00000,-1.34500,-1.34618,34.05000,-9999.00000,7.94000,2.75000,0.55000,2097.50000,2252.80000,-9999.00000,-9999.00000
58JM20040724,20040729,0000,79.49600,29.44400,61.50000,61.00000,-1.15900,-1.16052,34.08000,-9999.00000,8.29000,2.96000,0.58000,2100.10000,2255.60000,-9999.00000,-9999.00000
58JM20040724,20040729,0000,79.49600,29.44400,92.10000,91.00000,0.47800,0.47435,34.44000,-9999.00000,10.36000,4.64000,0.72000,2125.50000,2276.20000,-9999.00000,-9999.00000
58JM20040724,20040729,0000,79.49600,29.44400,122.20000,121.00000,0.85800,0.85272,34.51000,-9999.00000,9.52914,4.42607,0.63542,2127.50000,2277.10000,-9999.00000,-9999.00000
58JM20040724,20040729,0000,79.49600,29.44400,152.60000,151.00000,0.97000,0.96321,34.54000,-9999.00000,8.69000,4.21000,0.55000,2130.30000,2285.10000,-9999.00000,-9999.00000
58JM20040724,20040729,0000,79.49600,29.44400,197.00000,195.00000,1.36900,1.35946,34.66000,-9999.00000,10.82000,5.06000,0.76000,2134.00000,2285.80000,-9999.00000,-9999.00000
58JM20040724,20040730,0000,80.04060,28.58190,11.50000,11.00000,0.43900,0.43857,33.87000,-9999.00000,0.00000,1.08000,0.09000,2030.30000,-9999.00000,-9999.00000,-9999.00000
58JM20040724,20040730,0000,80.04060,28.58190,21.30000,21.00000,0.29800,0.29722,33.91000,-9999.00000,0.00000,1.09000,0.08000,2036.30000,-9999.00000,-9999.00000,-9999.00000
58JM20040724,20040730,0000,80.04060,28.58190,31.00000,31.00000,0.05300,0.05192,34.03000,-9999.00000,1.23000,1.04000,0.20000,2058.50000,-9999.00000,-9999.00000,-9999.00000
58JM20040724,20040730,0000,80.04060,28.58190,40.70000,40.00000,-0.15300,-0.15436,34.18000,-9999.00000,2.97000,1.19000,0.33000,2080.60000,-9999.00000,-9999.00000,-9999.00000
58JM20040724,20040730,0000,80.04060,28.58190,60.80000,60.00000,0.33500,0.33269,34.35000,-9999.00000,4.77000,1.46000,0.43000,2102.00000,-9999.00000,-9999.00000,-9999.00000
58JM20040724,20040730,0000,80.04060,28.58190,80.60000,80.00000,0.76400,0.76061,34.50000,-9999.00000,6.96000,2.08000,0.53000,2118.70000,-9999.00000,-9999.00000,-9999.00000
58JM20040724,20040730,0000,80.04060,28.58190,100.20000,99.00000,0.98300,0.97857,34.57000,-9999.00000,9.57000,3.16000,0.64000,2131.80000,-9999.00000,-9999.00000,-9999.00000
58JM20040724,20040730,0000,80.04060,28.58190,125.50000,124.00000,1.09600,1.09029,34.62000,-9999.00000,9.51000,3.48000,0.65000,2135.80000,-9999.00000,-9999.00000,-9999.00000
