# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

58LA19860719,19860719,0000,75.00000,33.50000,20.20000,20.00000,4.44000,4.43854,34.78500,370.00000,0.10000,1.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58LA19860719,19860719,0000,75.00000,33.50000,50.40000,50.00000,1.40000,1.39758,35.00700,353.00000,11.50000,4.30000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58LA19860719,19860719,0000,75.00000,33.50000,75.60000,75.00000,0.80000,0.79673,34.98100,352.00000,12.30000,4.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58LA19860719,19860719,0000,75.00000,33.50000,100.80000,100.00000,-0.55000,-0.55322,34.94000,360.00000,11.90000,5.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58LA19860719,19860719,0000,75.00000,33.50000,136.10000,135.00000,-1.15000,-1.15369,34.93700,363.00000,12.00000,6.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58LA19860719,19860719,0000,75.20000,32.00000,38.30000,38.00000,4.24900,4.24628,34.97500,362.00000,1.20000,2.70000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58LA19860719,19860719,0000,75.20000,32.00000,77.60000,77.00000,2.76500,2.76038,35.02700,345.00000,9.20000,5.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58LA19860719,19860719,0000,75.20000,32.00000,201.60000,200.00000,1.64500,1.63464,35.01800,354.00000,12.00000,5.50000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58LA19860719,19860719,0000,75.20000,32.00000,297.40000,295.00000,-0.41500,-0.42539,34.95600,362.00000,12.10000,7.20000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58LA19860719,19860719,0000,75.20000,32.00000,316.60000,314.00000,-1.02000,-1.02949,34.95100,366.00000,11.90000,7.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58LA19860719,19860719,0000,75.60000,29.00000,38.30000,38.00000,0.66100,0.65941,34.82000,408.00000,4.10000,0.00000,0.38000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58LA19860719,19860719,0000,75.60000,29.00000,91.70000,91.00000,1.26100,1.25667,34.99900,348.00000,11.80000,3.40000,0.81000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58LA19860719,19860719,0000,75.60000,29.00000,153.20000,152.00000,1.02300,1.01598,34.99900,358.00000,12.40000,4.90000,0.78000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58LA19860719,19860719,0000,75.60000,29.00000,202.60000,201.00000,0.94800,0.93876,35.00700,360.00000,12.10000,5.10000,0.82000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58LA19860719,19860719,0000,75.60000,29.00000,264.20000,262.00000,0.14600,0.13559,34.97700,356.00000,12.50000,8.00000,0.85000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58LA19860719,19860719,0000,75.60000,29.00000,310.60000,308.00000,-1.10900,-1.11804,34.93600,363.00000,11.70000,9.60000,0.86000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58LA19860719,19860719,0000,76.00000,26.00000,9.10000,9.00000,2.39400,2.39352,33.45500,394.00000,0.30000,0.20000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58LA19860719,19860719,0000,76.00000,26.00000,36.30000,36.00000,-1.57700,-1.57780,34.69200,426.00000,2.90000,2.00000,0.28000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
58LA19860719,19860719,0000,76.00000,26.00000,66.50000,66.00000,-1.75900,-1.76038,34.77600,361.00000,9.10000,3.30000,0.75000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
