# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

61TG20030217,20030224,1626,-65.00000,143.00400,7.80000,8.00000,0.12600,0.12573,33.87220,348.70000,27.09000,42.80000,-9999.00000,2159.70000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030224,1626,-65.00000,143.00400,29.80000,30.00000,0.11300,0.11196,33.88160,355.60000,27.29000,42.70000,-9999.00000,2159.70000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030224,1626,-65.00000,143.00400,52.90000,52.00000,-0.31600,-0.31771,34.37270,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030224,1626,-65.00000,143.00400,85.40000,85.00000,0.14000,0.13686,34.48740,252.30000,32.15000,71.80000,-9999.00000,2235.70000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030224,1626,-65.00000,143.00400,99.90000,99.00000,0.27900,0.27519,34.52240,244.70000,32.08000,74.20000,-9999.00000,2239.30000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030224,1626,-65.00000,143.00400,126.60000,125.00000,0.80300,0.79756,34.58820,223.40000,32.40000,78.00000,-9999.00000,2244.60000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030224,1626,-65.00000,143.00400,151.60000,150.00000,1.09600,1.08907,34.62580,205.50000,32.20000,80.10000,-9999.00000,2246.80000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030224,1626,-65.00000,143.00400,200.20000,198.00000,1.37800,1.36828,34.67500,196.90000,32.00000,83.50000,-9999.00000,2249.00000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030224,1626,-65.00000,143.00400,308.40000,305.00000,1.48400,1.46844,34.71160,195.30000,31.40000,86.60000,-9999.00000,2250.20000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030224,1626,-65.00000,143.00400,511.90000,506.00000,1.24400,1.21829,34.71290,201.70000,31.10000,91.40000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030224,1626,-65.00000,143.00400,715.60000,707.00000,1.15800,1.12130,34.72490,202.50000,31.20000,98.70000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030224,1626,-65.00000,143.00400,1012.70000,1000.00000,0.92000,0.86746,34.72010,204.90000,31.50000,106.50000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030224,1626,-65.00000,143.00400,1523.20000,1503.00000,0.49700,0.41658,34.69700,212.10000,32.30000,118.20000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030224,1626,-65.00000,143.00400,2026.70000,1997.00000,0.20400,0.09313,34.68350,218.60000,32.31000,120.80000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030224,1626,-65.00000,143.00400,2536.20000,2496.00000,-0.02800,-0.17293,34.67870,227.50000,31.90000,112.50000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030224,1626,-65.00000,143.00400,3006.60000,2956.00000,-0.22600,-0.40485,34.66830,235.90000,31.80000,103.40000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030226,0012,-65.59500,140.04300,11.30000,11.00000,-0.51100,-0.51134,34.06230,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030226,0012,-65.59500,140.04300,20.90000,21.00000,-0.51900,-0.51962,34.06170,342.20000,27.82000,50.90000,-9999.00000,2177.50000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030226,0012,-65.59500,140.04300,31.80000,31.00000,-0.52000,-0.52095,34.06230,341.20000,27.82000,50.90000,-9999.00000,2176.10000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030226,0012,-65.59500,140.04300,39.80000,39.00000,-0.51900,-0.52019,34.06540,341.30000,27.72000,50.90000,-9999.00000,2178.40000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030226,0012,-65.59500,140.04300,50.40000,50.00000,-0.51900,-0.52051,34.06530,341.10000,27.82000,50.90000,-9999.00000,2177.20000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030226,0012,-65.59500,140.04300,60.40000,60.00000,-0.51900,-0.52082,34.06430,341.70000,27.72000,50.80000,-9999.00000,2177.20000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030226,0012,-65.59500,140.04300,82.40000,82.00000,-0.54100,-0.54349,34.09050,336.50000,27.82000,52.30000,-9999.00000,2181.00000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030226,0012,-65.59500,140.04300,100.50000,99.00000,-1.11900,-1.12159,34.30770,321.80000,28.92000,63.20000,-9999.00000,2206.80000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030226,0012,-65.59500,140.04300,125.40000,124.00000,-1.13300,-1.13625,34.31280,322.40000,29.02000,63.20000,-9999.00000,2207.20000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030226,0012,-65.59500,140.04300,133.00000,132.00000,-1.12900,-1.13246,34.30880,319.58100,29.18750,64.89850,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030226,0012,-65.59500,140.04300,152.80000,151.00000,-1.38600,-1.38969,34.39750,311.90000,29.62000,69.30000,-9999.00000,2218.00000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030226,0012,-65.59500,140.04300,203.10000,201.00000,-1.49800,-1.50282,34.43130,302.20000,30.14000,72.50000,-9999.00000,2222.80000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030226,0012,-65.59500,140.04300,253.00000,250.00000,-1.49300,-1.49915,34.43880,300.80000,30.35000,72.70000,-9999.00000,2225.40000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030226,0012,-65.59500,140.04300,302.50000,299.00000,-1.32800,-1.33595,34.47810,291.00000,30.75000,74.60000,-9999.00000,2229.60000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030226,0012,-65.59500,140.04300,405.20000,401.00000,-0.28700,-0.30173,34.59960,248.80000,31.19000,86.90000,-9999.00000,2242.90000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030226,0012,-65.59500,140.04300,498.00000,493.00000,-0.45200,-0.46985,34.61930,254.70000,31.18000,90.20000,-9999.00000,2244.50000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030226,0012,-65.59500,140.04300,672.00000,664.00000,-0.97900,-1.00114,34.58470,275.50000,31.07000,82.40000,-9999.00000,2237.00000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030226,0012,-65.59500,140.04300,674.00000,666.00000,-0.98200,-1.00420,34.58190,275.20000,30.97000,82.40000,-9999.00000,2238.90000,-9999.00000,-9999.00000,-9999.00000
61TG20030217,20030226,1113,-65.43160,139.83600,10.40000,10.00000,-0.45200,-0.45232,34.06680,350.90000,28.02000,51.30000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
