# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

64PE20000926,20000929,0000,51.81500,-5.76650,104.80000,104.00000,13.18100,13.16650,35.21800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,105.00000,104.00000,13.18100,13.16640,35.21800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,102.40000,101.00000,13.19000,13.17580,35.21800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,101.20000,100.00000,13.17500,13.16100,35.21900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,102.00000,101.00000,13.17700,13.16290,35.21900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,102.60000,102.00000,13.17000,13.15580,35.21900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,103.40000,102.00000,13.17100,13.15670,35.21900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,103.10000,102.00000,13.16700,13.15270,35.21900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,100.50000,100.00000,13.18200,13.16810,35.21800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,103.50000,103.00000,13.16400,13.14970,35.21900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,101.40000,100.00000,13.18000,13.16590,35.21800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,102.30000,101.00000,13.16100,13.14680,35.21900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,101.50000,101.00000,13.17100,13.15690,35.21900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,100.90000,100.00000,13.15300,13.13900,35.22000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,102.30000,101.00000,13.15700,13.14280,35.22000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,102.50000,102.00000,13.15400,13.13980,35.22000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,101.70000,101.00000,13.16500,13.15090,35.21900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,102.30000,101.00000,13.15800,13.14380,35.22000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,103.20000,102.00000,13.15800,13.14370,35.21900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,104.70000,104.00000,13.14900,13.13450,35.22000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,104.50000,104.00000,13.14800,13.13350,35.22000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,102.10000,101.00000,13.17000,13.15590,35.21900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,103.20000,102.00000,13.14700,13.13270,35.22000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000929,0000,51.81500,-5.76650,102.10000,101.00000,13.14900,13.13490,35.22000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000930,0000,55.75020,-8.99983,112.60000,112.00000,10.41800,10.40460,35.35700,224.30000,12.50000,4.80000,0.77420,2156.40000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000930,0000,55.75020,-8.99983,101.90000,101.00000,10.41600,10.40390,35.35700,226.30000,12.50000,4.80000,0.74480,2152.60000,-9999.00000,-9999.00000,-9999.00000
64PE20000926,20000930,0000,55.75020,-8.99983,50.60000,50.00000,11.12200,11.11570,35.35700,228.30000,11.40000,4.00000,0.69580,2148.80000,-9999.00000,-9999.00000,-9999.00000
