# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

64TR19890731,19890804,0000,59.61330,-18.12700,6.38828,6.34000,12.35700,12.35620,35.28600,279.73200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64TR19890731,19890804,0000,59.61330,-18.12700,21.16060,21.00000,12.33500,12.33220,35.28400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64TR19890731,19890804,0000,59.61330,-18.12700,45.21570,44.87000,11.92800,11.92210,35.28600,270.10300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64TR19890731,19890804,0000,59.61330,-18.12700,71.06760,70.52000,10.61100,10.60250,35.34000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64TR19890731,19890804,0000,59.61330,-18.12700,96.01540,95.27000,9.90400,9.89293,35.33400,267.74900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64TR19890731,19890804,0000,59.61330,-18.12700,144.94100,143.80000,9.26100,9.24494,35.31900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64TR19890731,19890804,0000,59.61330,-18.12700,197.37800,195.80000,8.98700,8.96547,35.30800,267.18300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64TR19890731,19890804,0000,59.61330,-18.12700,295.32700,292.90000,8.70300,8.67124,35.28900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
64TR19890731,19890804,0000,59.61330,-18.12700,396.65200,393.30000,8.65600,8.61323,35.28300,270.09300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
