# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

67SL19881117,19881117,0000,42.05100,-9.28400,1.99938,1.98429,17.83030,17.83000,35.91800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,5.99815,5.95283,17.83000,17.82900,35.91900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,9.99691,9.92128,17.82970,17.82800,35.91700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,16.99470,16.86590,17.82990,17.82700,35.91800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,19.99380,19.84210,17.83040,17.82700,35.91800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,25.99190,25.79430,17.82040,17.81600,35.91100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,31.99000,31.74640,17.69040,17.68500,35.87500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,35.98880,35.71440,17.61010,17.60400,35.87200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,50.38590,50.00000,17.07010,17.06170,35.87380,229.00000,2.54000,2.34000,-9999.00000,-9999.00000,2339.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,60.98080,60.51230,16.13970,16.13000,35.86700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,64.97950,64.47970,15.53010,15.52000,35.84300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,69.97800,69.43890,14.95960,14.94900,35.89300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,75.97600,75.38970,14.65040,14.63900,35.88000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,81.97400,81.34030,14.37010,14.35800,35.89700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,84.97310,84.31560,14.29950,14.28700,35.90200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,89.97140,89.27420,14.24020,14.22700,35.90400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,100.78300,100.00000,14.03990,14.02520,35.90270,226.00000,5.95000,2.68000,-9999.00000,-9999.00000,2349.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,111.96400,111.09100,14.00030,13.98400,35.91800,224.97400,6.35631,2.82317,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,119.96200,119.02400,13.85030,13.83300,35.88800,224.12400,6.55112,2.95171,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,130.95800,129.93100,13.68980,13.67100,35.87500,222.91200,6.89578,3.09901,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,140.95500,139.84600,13.57010,13.55000,35.85400,221.87600,7.26233,3.23783,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,151.19300,150.00000,13.44240,13.42100,35.83530,221.00000,7.53000,3.38000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,169.94400,168.59600,13.34000,13.31610,35.81800,219.74300,7.98844,3.48021,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
67SL19881117,19881117,0000,42.05100,-9.28400,180.94100,179.50100,13.25040,13.22500,35.80200,219.09200,8.24973,3.53027,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
