# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

74AB19871112,19871113,0000,-31.58500,31.17670,1000.60000,991.27400,6.43000,6.33583,34.52480,198.30000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
74AB19871112,19871113,0000,-31.58500,31.17670,1004.10000,994.73300,6.42200,6.32754,34.52520,197.80000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
74AB19871112,19871113,0000,-31.58500,31.17670,1010.10000,1000.66000,6.37550,6.28076,34.54020,196.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
74AB19871112,19871113,0000,-31.58500,31.17670,1010.10000,1000.66000,6.37450,6.27976,34.54060,196.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
74AB19871112,19871113,0000,-31.58500,31.17670,1012.40000,1002.94000,6.36050,6.26564,34.53880,193.90000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
74AB19871112,19871113,0000,-31.58500,31.17670,1012.90000,1003.43000,6.36000,6.26510,34.53820,193.90000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
74AB19871112,19871113,0000,-31.58500,31.17670,1012.90000,1003.43000,6.35950,6.26460,34.53680,193.90000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
74AB19871112,19871113,0000,-31.58500,31.17670,1999.60000,1976.29000,2.74900,2.60088,34.74060,199.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
74AB19871112,19871113,0000,-31.58500,31.17670,1999.60000,1976.29000,2.74900,2.60088,34.74120,190.30000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
74AB19871112,19871113,0000,-31.58500,31.17670,2002.60000,1979.24000,2.74700,2.59864,34.74080,189.90000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
