# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

74JC20100319,20100325,2105,-62.50480,-56.79230,539.00000,533.00000,-0.78330,-0.80124,34.54210,267.51500,30.80000,86.90000,2.18280,2240.97000,-9999.00000,3.38510,1.75900
74JC20100319,20100325,2105,-62.50480,-56.79230,505.50000,500.00000,-0.76470,-0.78145,34.54360,267.72800,30.90000,87.80000,2.17260,-9999.00000,2337.52000,3.37710,1.75660
74JC20100319,20100325,2105,-62.50480,-56.79230,455.10000,450.00000,-0.76110,-0.77598,34.54360,267.49800,31.00000,87.10000,2.16240,2244.37000,2338.28000,3.36260,1.74210
74JC20100319,20100325,2105,-62.50480,-56.79230,455.10000,450.00000,-0.76520,-0.78006,34.54370,267.38600,31.00000,87.10000,2.16240,-9999.00000,-9999.00000,-9999.00000,-9999.00000
74JC20100319,20100325,2105,-62.50480,-56.79230,404.70000,400.00000,-0.83120,-0.84399,34.53510,269.82700,31.00000,85.30000,2.15220,2239.28000,2338.28000,3.47040,1.80180
74JC20100319,20100325,2105,-62.50480,-56.79230,404.50000,400.00000,-0.85060,-0.86332,34.53390,270.34900,30.99970,85.29010,2.15216,-9999.00000,-9999.00000,-9999.00000,-9999.00000
74JC20100319,20100325,2105,-62.50480,-56.79230,304.20000,301.00000,-1.17500,-1.18339,34.47320,287.26000,30.40000,79.10000,2.14200,2234.57000,2335.37000,4.11790,2.16040
74JC20100319,20100325,2105,-62.50480,-56.79230,304.60000,301.00000,-1.16140,-1.16984,34.47640,286.19100,30.40300,79.11730,2.14207,-9999.00000,-9999.00000,-9999.00000,-9999.00000
74JC20100319,20100325,2105,-62.50480,-56.79230,203.50000,201.00000,-1.35250,-1.35758,34.39430,305.21700,29.10000,74.90000,2.08080,2225.95000,2329.69000,4.62880,2.45890
74JC20100319,20100325,2105,-62.50480,-56.79230,203.30000,201.00000,-1.35250,-1.35757,34.39460,305.51400,29.09830,74.89140,2.08073,-9999.00000,-9999.00000,-9999.00000,-9999.00000
74JC20100319,20100325,2105,-62.50480,-56.79230,178.30000,177.00000,-1.35980,-1.36418,34.37130,308.76000,29.30000,73.80000,2.08080,2218.92000,2328.33000,4.71600,2.51930
74JC20100319,20100325,2105,-62.50480,-56.79230,178.40000,177.00000,-1.36030,-1.36469,34.37090,308.37200,29.30060,73.80430,2.08084,-9999.00000,-9999.00000,-9999.00000,-9999.00000
74JC20100319,20100325,2105,-62.50480,-56.79230,152.90000,151.00000,-1.36320,-1.36690,34.32390,313.02600,28.80000,73.00000,2.06040,2220.93000,2326.78000,4.80370,2.54980
74JC20100319,20100325,2105,-62.50480,-56.79230,153.40000,152.00000,-1.36140,-1.36512,34.32460,313.04000,28.81480,73.02370,2.06090,-9999.00000,-9999.00000,-9999.00000,-9999.00000
74JC20100319,20100325,2105,-62.50480,-56.79230,102.80000,102.00000,-1.45840,-1.46071,34.07570,339.93100,26.80000,68.90000,1.98900,2197.17000,2311.87000,5.49710,2.97260
74JC20100319,20100325,2105,-62.50480,-56.79230,102.50000,101.00000,-1.45860,-1.46090,34.07150,339.35300,26.79210,68.87340,1.98823,-9999.00000,-9999.00000,-9999.00000,-9999.00000
74JC20100319,20100325,2105,-62.50480,-56.79230,77.40000,77.00000,-1.78810,-1.78958,33.99130,345.37300,26.50000,66.20000,1.90740,2191.10000,2304.86000,5.66430,3.15870
74JC20100319,20100325,2105,-62.50480,-56.79230,77.50000,77.00000,-1.78950,-1.79098,33.99110,345.63700,26.50300,66.20480,1.90776,-9999.00000,-9999.00000,-9999.00000,-9999.00000
