# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

77DN20010717,20010717,0000,81.28610,26.39360,450.50000,445.00000,1.45512,1.43180,34.90380,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2297.40000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.28610,26.39360,400.30000,396.00000,1.90957,1.88750,34.95220,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2303.50000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.28610,26.39360,350.70000,347.00000,2.11749,2.09770,34.95510,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2303.40000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.28610,26.39360,300.30000,297.00000,2.22367,2.20660,34.94860,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2305.10000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.28610,26.39360,250.50000,248.00000,2.33406,2.31970,34.94040,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2303.30000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.28610,26.39360,200.60000,198.00000,2.46022,2.44860,34.93840,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2302.60000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.28610,26.39360,174.70000,173.00000,2.52227,2.51210,34.93430,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2305.60000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.28610,26.39360,124.90000,124.00000,2.67157,2.66420,34.93130,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2306.60000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.28610,26.39360,100.40000,99.00000,2.51887,2.51310,34.88920,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2302.70000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.45360,26.60970,500.80000,495.00000,1.55991,1.53330,34.95400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2302.40000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.45360,26.60970,399.90000,395.00000,1.86821,1.84630,34.95260,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2303.30000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.45360,26.60970,300.20000,297.00000,2.26567,2.24850,34.95750,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2305.70000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.45360,26.60970,250.10000,247.00000,2.25928,2.24510,34.93900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2301.60000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.45360,26.60970,200.20000,198.00000,2.50156,2.48990,34.94210,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2302.80000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.45360,26.60970,174.80000,173.00000,2.55983,2.54960,34.93370,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2300.80000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.45360,26.60970,150.00000,148.00000,2.66938,2.66050,34.93350,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2302.20000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.45360,26.60970,125.40000,124.00000,2.67380,2.66640,34.91560,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2301.50000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.45360,26.60970,101.60000,100.00000,2.60341,2.59750,34.88510,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2301.40000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.45360,26.60970,80.40000,80.00000,2.34278,2.33830,34.81880,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2298.00000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.45360,26.60970,70.50000,70.00000,1.70724,1.70370,34.71150,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2294.50000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.45360,26.60970,59.60000,59.00000,1.18742,1.18470,34.60280,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2287.10000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.45360,26.60970,51.00000,50.00000,1.13530,1.13300,34.54840,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2286.30000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.45360,26.60970,41.50000,41.00000,1.26530,1.26340,34.46830,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2280.90000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.45360,26.60970,30.80000,30.00000,0.60543,0.60420,34.24260,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2268.60000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.45360,26.60970,20.70000,20.00000,-0.72233,-0.72290,33.71180,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2235.50000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.45360,26.60970,10.70000,11.00000,-0.97266,-0.97290,32.42430,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2151.50000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.45360,26.60970,4.60000,5.00000,-0.97240,-0.97250,32.20620,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2138.90000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.53920,26.67530,499.70000,494.00000,1.45551,1.42940,34.93410,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2299.50000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.53920,26.67530,400.90000,396.00000,1.89376,1.87170,34.95770,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2303.00000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.53920,26.67530,300.00000,297.00000,2.18978,2.17280,34.96010,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2303.20000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.53920,26.67530,249.90000,247.00000,2.09072,2.07690,34.92660,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2301.40000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.53920,26.67530,201.00000,199.00000,2.20882,2.19760,34.91580,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2303.60000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.53920,26.67530,175.10000,173.00000,2.45750,2.44740,34.92700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2302.90000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.53920,26.67530,150.50000,149.00000,2.56108,2.55230,34.92680,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2303.30000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.53920,26.67530,124.60000,123.00000,2.25522,2.24830,34.87620,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2300.40000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.53920,26.67530,100.60000,100.00000,1.43096,1.42610,34.74690,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2290.70000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.53920,26.67530,80.30000,79.00000,1.58507,1.58110,34.73050,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2295.60000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.53920,26.67530,70.90000,70.00000,1.42069,1.41730,34.68650,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2291.10000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.53920,26.67530,60.20000,60.00000,0.95543,0.95280,34.61660,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2295.10000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.53920,26.67530,51.00000,50.00000,-0.40528,-0.40690,34.44670,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2276.00000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.53920,26.67530,39.90000,40.00000,-0.88921,-0.89030,34.30150,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2274.10000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.53920,26.67530,30.50000,30.00000,-1.15205,-1.15280,34.15360,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2264.10000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.53920,26.67530,20.70000,20.00000,-1.29333,-1.29380,33.95060,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2256.60000,-9999.00000,-9999.00000
77DN20010717,20010717,0000,81.53920,26.67530,9.80000,10.00000,-0.98106,-0.98130,33.60340,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2221.60000,-9999.00000,-9999.00000
