# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

77YM19800811,19800811,0000,78.86700,27.66700,5.00000,4.90000,0.18400,0.18383,32.93400,409.47500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
77YM19800811,19800811,0000,78.86700,27.66700,10.00000,9.90000,0.18400,0.18366,32.93600,409.47500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
77YM19800811,19800811,0000,78.86700,27.66700,20.00000,19.80000,-0.08500,-0.08563,33.10200,409.42400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
77YM19800811,19800811,0000,78.86700,27.66700,25.00000,24.70000,-0.11500,-0.11579,33.12400,409.41800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
77YM19800811,19800813,0000,80.21700,22.25000,5.00000,4.90000,-0.47900,-0.47914,33.31900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
77YM19800811,19800813,0000,80.21700,22.25000,10.00000,9.90000,-1.08400,-1.08424,33.41900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
77YM19800811,19800813,0000,80.21700,22.25000,15.00000,14.80000,-1.34000,-1.34033,33.71900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
77YM19800811,19800813,0000,80.21700,22.25000,31.00000,30.70000,-1.41400,-1.41469,34.17200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
77YM19800811,19800813,0000,80.21700,22.25000,50.00000,49.40000,-1.40000,-1.40114,34.30200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
77YM19800811,19800813,0000,80.21700,22.25000,150.00000,148.30000,-1.54000,-1.54347,34.55800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
77YM19800811,19800814,0000,81.58300,22.65000,10.00000,9.90000,-1.67900,-1.67918,33.01700,409.45000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
77YM19800811,19800814,0000,81.58300,22.65000,30.00000,29.70000,-1.08600,-1.08675,34.14100,346.30300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
77YM19800811,19800814,0000,81.58300,22.65000,50.00000,49.40000,-0.71200,-0.71345,34.37700,338.39300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
77YM19800811,19800814,0000,81.58300,22.65000,100.00000,98.90000,1.66700,1.66197,34.78600,313.87800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
77YM19800811,19800814,0000,81.58300,22.65000,150.00000,148.30000,2.50000,2.49133,34.92400,304.69200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
77YM19800811,19800814,0000,81.58300,22.65000,200.00000,197.70000,2.73800,2.72610,34.54600,308.70100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
77YM19800811,19800814,0000,81.58300,22.65000,300.00000,296.50000,2.10000,2.08325,34.94100,311.66200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
77YM19800811,19800814,0000,81.58300,22.65000,400.00000,395.20000,1.78700,1.76536,34.93600,314.71500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
77YM19800811,19800814,0000,81.58300,22.65000,500.00000,493.90000,1.21900,1.19386,34.92000,313.84600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
77YM19800811,19800814,0000,81.58300,22.65000,750.00000,740.50000,-0.27400,-0.30413,34.91300,302.07900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
