# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

90AV20041104,20041108,0000,-33.92670,17.81300,10.80000,10.80000,19.16940,19.16750,35.33170,248.59000,-9999.00000,1.74420,0.10890,2021.60000,2321.89000,-9999.00000,-9999.00000
90AV20041104,20041108,0000,-33.92670,17.81300,25.00000,24.80000,17.27530,17.27110,35.26620,253.65000,-9999.00000,3.01920,0.18810,2040.50000,2325.52000,2.49810,1.46810
90AV20041104,20041108,0000,-33.92670,17.81300,48.60000,48.30000,12.59580,12.58930,34.97250,244.69000,-9999.00000,4.74300,0.70290,2109.80000,2315.61000,2.60240,1.55850
90AV20041104,20041108,0000,-33.92670,17.81300,74.80000,74.30000,10.84170,10.83260,34.88600,182.03000,-9999.00000,12.37260,1.34640,2161.00000,2302.71000,-9999.00000,-9999.00000
90AV20041104,20041108,0000,-33.92670,17.81300,102.00000,101.20000,9.39530,9.38401,34.75220,173.35000,-9999.00000,14.86140,1.69290,2170.30000,2296.77000,2.48460,1.43020
90AV20041104,20041108,0000,-33.92670,17.81300,126.10000,125.10000,8.30420,8.29127,34.62420,178.86000,-9999.00000,15.67740,1.74240,2174.60000,2293.18000,2.54020,1.41000
90AV20041104,20041108,0000,-33.92670,17.81300,148.20000,147.10000,7.92760,7.91282,34.58150,183.29000,-9999.00000,15.94260,1.69290,2171.70000,2291.30000,2.52740,1.40480
90AV20041104,20041108,0000,-33.92670,17.81300,199.90000,198.40000,7.23420,7.21526,34.51480,186.80000,-9999.00000,17.49300,1.76220,2177.10000,2292.12000,2.52820,1.36310
90AV20041104,20041108,0000,-33.92670,17.81300,221.50000,219.80000,7.22900,7.20799,34.51160,186.33000,-9999.00000,17.53380,1.78200,2180.50000,2293.14000,2.58170,1.31860
90AV20041104,20041108,0000,-33.95120,17.54630,11.90000,11.80000,19.47200,19.46980,35.41680,239.61000,-9999.00000,1.88700,0.18810,-9999.00000,-9999.00000,-9999.00000,-9999.00000
