# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

90BM19930830,19930903,2036,43.99350,153.50800,10.00000,10.00000,13.27800,13.27660,32.83720,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,49.90000,49.00000,3.00300,3.00011,33.08170,308.68500,22.60000,37.80000,1.91000,2111.70000,2250.80000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,99.90000,99.00000,1.51600,1.51139,33.21600,292.01300,29.10000,53.30000,2.22000,2155.80000,2248.90000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,150.90000,150.00000,2.63100,2.62249,33.53720,164.58000,36.80000,75.00000,2.71000,2243.00000,2276.50000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,200.00000,198.00000,2.06000,2.04953,33.66130,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,299.00000,296.00000,2.83900,2.82109,33.85010,85.99500,40.40000,99.30000,2.92000,2304.70000,2308.60000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,399.10000,396.00000,3.07900,3.05389,34.00640,68.25000,43.30000,111.20000,3.08000,2332.60000,2326.70000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,399.80000,396.00000,3.08200,3.05684,34.00690,51.57750,43.20000,111.40000,3.10000,2334.90000,2333.70000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,600.70000,595.00000,2.90800,2.86986,34.20120,35.10000,44.40000,132.10000,3.15000,2362.30000,2357.00000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,799.90000,792.00000,2.72500,2.67392,34.33140,28.17750,43.90000,144.30000,3.18000,2369.50000,2374.50000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,1000.30000,990.00000,2.48000,2.41631,34.41120,35.19750,44.70000,153.70000,3.17000,2378.70000,2388.40000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,1199.80000,1187.00000,2.29200,2.21536,34.46580,44.46000,44.30000,156.90000,3.11000,2377.90000,2404.50000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,1398.90000,1383.00000,2.12300,2.03316,34.50760,54.40500,-9999.00000,158.20000,-9999.00000,2377.00000,2404.70000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,1600.00000,1581.00000,2.06000,1.95535,34.54880,62.98450,40.94260,160.29700,3.02998,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,1800.10000,1778.00000,1.95500,1.83579,34.57590,71.66250,39.80000,161.60000,2.99000,2372.70000,2414.30000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,2000.50000,1975.00000,1.85500,1.72081,34.60100,83.36250,39.70000,160.10000,2.95000,2367.90000,2420.20000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,2200.80000,2172.00000,1.77200,1.62224,34.62000,93.40500,39.30000,158.90000,2.88000,2363.60000,2419.90000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,2384.30000,2352.00000,1.68100,1.51691,34.63590,104.22800,37.90000,158.40000,2.85000,2357.80000,2420.40000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,2599.70000,2563.00000,1.61700,1.43494,34.64800,104.42300,37.40000,155.50000,2.79000,2351.10000,2420.30000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,2798.30000,2758.00000,1.56100,1.36188,34.65720,122.46000,37.50000,154.80000,2.75000,2347.60000,2423.40000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,2999.80000,2955.00000,1.53400,1.31650,34.66220,127.72500,37.20000,153.50000,2.73000,2340.60000,2423.30000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,3198.40000,3149.00000,1.50000,1.26405,34.66820,134.55000,37.40000,152.20000,2.67000,2338.50000,2423.30000,-9999.00000,-9999.00000
90BM19930830,19930903,2036,43.99350,153.50800,3401.50000,3347.00000,1.47900,1.22336,34.67290,138.25500,36.80000,150.30000,2.67000,2334.70000,2423.40000,-9999.00000,-9999.00000
90BM19930830,19930904,0233,44.47030,153.19300,9.40000,9.00000,11.90100,11.89980,32.89930,285.77200,7.57000,10.30000,0.95000,2013.70000,2239.00000,-9999.00000,-9999.00000
90BM19930830,19930904,0233,44.47030,153.19300,51.60000,51.00000,2.54000,2.53721,33.12690,296.30200,23.00000,40.90000,1.94000,2134.30000,2249.10000,-9999.00000,-9999.00000
90BM19930830,19930904,0233,44.47030,153.19300,98.40000,98.00000,1.37400,1.36957,33.22280,278.75300,27.49000,51.70000,2.14000,2168.70000,2252.90000,-9999.00000,-9999.00000
90BM19930830,19930904,0233,44.47030,153.19300,146.40000,145.00000,1.64200,1.63499,33.36310,233.80500,30.49000,62.70000,2.31000,2196.80000,2264.40000,-9999.00000,-9999.00000
90BM19930830,19930904,0233,44.47030,153.19300,200.20000,198.00000,1.82700,1.81697,33.46590,201.72700,32.67000,70.60000,2.42000,2228.10000,2272.30000,-9999.00000,-9999.00000
90BM19930830,19930904,0233,44.47030,153.19300,298.50000,296.00000,2.17200,2.15586,33.63520,153.27000,35.27000,83.70000,2.83000,2263.00000,2290.70000,-9999.00000,-9999.00000
