# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

90CI19990827,19990829,1405,46.83170,152.24300,2.30000,2.00000,7.47610,7.47589,32.55370,333.30000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,8.70000,9.00000,7.28180,7.28101,32.56500,325.08000,8.37654,12.21190,0.86996,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,19.60000,19.00000,6.98920,6.98746,32.58880,321.57200,8.90267,13.06960,0.91396,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,29.20000,29.00000,6.61320,6.61070,32.61500,318.66500,15.30360,23.13390,1.37374,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,49.80000,49.00000,2.52470,2.52203,32.91360,319.46700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,50.90000,50.00000,2.53520,2.53247,32.91080,316.96100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,73.60000,73.00000,1.93080,1.92719,32.99880,319.96800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,73.80000,73.00000,1.92180,1.91819,33.00500,319.86800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,98.30000,97.00000,1.08920,1.08504,33.07570,313.35200,27.15490,45.35240,2.11411,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,98.60000,98.00000,1.09540,1.09122,33.07210,313.35200,27.17050,45.39110,2.11499,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,122.50000,121.00000,1.00850,1.00336,33.13610,291.50000,28.05070,47.85620,2.17243,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,122.80000,122.00000,1.00870,1.00354,33.14790,291.50000,28.07180,47.90980,2.17369,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,149.30000,148.00000,1.33730,1.33056,33.24540,264.83600,31.08430,55.89300,2.34601,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,150.10000,149.00000,1.31860,1.31184,33.23600,256.51600,31.15920,56.11240,2.35056,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,198.10000,196.00000,1.85470,1.84477,33.37870,202.58600,35.35230,68.78490,2.61286,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,198.80000,197.00000,1.86210,1.85212,33.37870,202.58600,35.41470,68.97230,2.61672,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,248.00000,246.00000,2.28710,2.27362,33.50620,164.29400,40.69780,84.00040,2.91909,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,248.60000,246.00000,2.29880,2.28526,33.50780,160.88600,40.71050,84.10740,2.92123,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,296.70000,294.00000,2.68540,2.66812,33.63120,108.05900,39.89820,87.32650,2.91500,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,296.90000,294.00000,2.70180,2.68447,33.62580,108.05900,39.89390,87.33800,2.91477,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,399.90000,396.00000,2.19740,2.17527,33.75820,119.68700,37.78270,95.24150,2.82027,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,400.30000,397.00000,2.19500,2.17285,33.75790,118.98600,37.77610,95.27610,2.82021,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,502.90000,498.00000,2.89210,2.86083,33.96820,62.55010,41.53240,106.89800,3.02906,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1405,46.83170,152.24300,502.90000,498.00000,2.85640,2.82528,33.96660,62.55010,41.53240,106.89800,3.02906,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1636,46.83170,152.24300,2.40000,2.00000,7.31860,7.31838,32.56150,318.46400,8.34000,12.21230,0.87000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1636,46.83170,152.24300,9.30000,9.00000,7.30840,7.30755,32.55920,315.35700,8.38000,12.21230,0.87000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1636,46.83170,152.24300,18.90000,19.00000,7.27360,7.27189,32.56660,316.66000,8.43000,12.32870,0.88000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1636,46.83170,152.24300,29.00000,29.00000,3.81080,3.80895,32.77010,324.98000,15.25000,23.01810,1.37000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1636,46.83170,152.24300,48.60000,48.00000,2.36420,2.36166,32.90620,316.25900,20.01000,32.90240,1.69000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1636,46.83170,152.24300,74.90000,74.00000,0.93500,0.93195,33.03690,309.04200,25.30000,41.84580,2.02000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1636,46.83170,152.24300,100.30000,99.00000,1.08220,1.07795,33.10110,307.43800,27.26000,45.60940,2.12000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90CI19990827,19990829,1636,46.83170,152.24300,124.20000,123.00000,1.06280,1.05753,33.14270,304.83200,28.18000,48.17990,2.18000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
