# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

90JS20080815,20080818,0000,71.64600,64.64200,115.00000,114.00000,-0.80000,-0.80332,34.37050,299.60000,8.80000,5.70000,0.70000,2264.80000,-9999.00000,7.46000,3.69000
90JS20080815,20080818,0000,71.64600,64.64200,115.10000,114.00000,-0.80000,-0.80332,34.37050,298.40000,8.90000,5.50000,0.65000,2270.90000,-9999.00000,7.57000,3.51000
90JS20080815,20080818,0000,71.64600,64.64200,115.20000,114.00000,-0.80000,-0.80332,34.37050,298.00000,8.70000,5.40000,0.61000,2272.20000,-9999.00000,7.43000,3.82000
90JS20080815,20080818,0000,71.64600,64.64200,115.80000,115.00000,-0.80000,-0.80334,34.37050,298.50000,9.00000,5.30000,0.54000,-9999.00000,-9999.00000,6.59000,3.79000
90JS20080815,20080819,0000,73.40500,72.99500,24.80000,25.00000,-1.10000,-1.10051,31.87030,248.90000,4.40000,17.80000,0.36000,2362.20000,2228.50000,-9999.00000,-9999.00000
90JS20080815,20080819,0000,73.40500,72.99500,19.80000,20.00000,-1.10000,-1.10041,31.87030,249.20000,4.30000,17.40000,0.11000,2262.10000,2205.00000,-9999.00000,-9999.00000
90JS20080815,20080819,0000,73.40500,72.99500,15.00000,15.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2270.10000,2204.10000,-9999.00000,-9999.00000
90JS20080815,20080819,0000,73.40500,72.99500,10.00000,10.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2081.70000,2075.00000,-9999.00000,-9999.00000
90JS20080815,20080819,0000,73.40500,72.99500,4.00000,4.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1378.90000,1424.30000,-9999.00000,-9999.00000
90JS20080815,20080819,0000,73.49200,79.88500,37.10000,37.00000,-1.10000,-1.10082,32.67040,256.80000,5.50000,14.40000,0.31000,2259.00000,2243.10000,-9999.00000,-9999.00000
90JS20080815,20080819,0000,73.49200,79.88500,20.80000,21.00000,-0.90000,-0.90045,31.67030,333.70000,1.90000,4.60000,0.31000,2118.50000,2209.90000,-9999.00000,-9999.00000
90JS20080815,20080819,0000,73.49200,79.88500,15.20000,15.00000,1.20000,1.19943,30.27010,358.80000,0.40000,3.10000,0.11000,2024.50000,2155.60000,-9999.00000,-9999.00000
90JS20080815,20080819,0000,73.49200,79.88500,10.40000,10.00000,5.90000,5.89946,15.56870,-9999.00000,0.40000,37.40000,0.01000,1281.90000,1316.90000,-9999.00000,-9999.00000
90JS20080815,20080819,0000,73.49200,79.88500,3.30000,3.00000,10.20000,10.19980,5.36764,-9999.00000,0.30000,50.20000,0.03000,853.30000,890.20000,-9999.00000,-9999.00000
