# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

90KD19920214,19920222,0000,-67.46780,-70.08920,13.20000,13.06800,-0.08960,-0.09002,33.31420,349.80000,21.85860,62.13200,1.55000,2120.50000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920222,0000,-67.46780,-70.08920,33.40000,33.06440,-0.00770,-0.00882,33.61100,336.90000,23.74560,61.06380,1.69000,2147.10000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920222,0000,-67.46780,-70.08920,53.20000,52.66280,-1.11180,-1.11310,33.75870,307.30000,26.14260,70.45220,1.86000,2169.10000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920222,0000,-67.46780,-70.08920,78.70000,77.90060,-1.47150,-1.47321,33.91390,298.60000,27.92760,72.74540,1.94000,2192.70000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920222,0000,-67.46780,-70.08920,103.20000,102.14600,-1.53250,-1.53474,34.02500,289.80000,29.22300,75.51880,1.99000,2202.60000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920222,0000,-67.46780,-70.08920,153.50000,151.91300,-0.20050,-0.20576,34.33210,233.50000,31.71180,89.58180,2.14000,-9999.00000,-9999.00000,2.65400,-9999.00000
90KD19920214,19920222,0000,-67.46780,-70.08920,194.10000,192.07500,0.63880,0.63063,34.52050,200.90000,32.50740,97.90200,2.24000,2251.10000,-9999.00000,1.27600,-9999.00000
90KD19920214,19920222,0000,-67.46780,-70.08920,218.40000,216.10800,0.97960,0.96971,34.59300,190.00000,32.70120,102.21400,2.24000,2264.70000,-9999.00000,0.78500,-9999.00000
90KD19920214,19920222,0000,-67.16570,-71.12070,13.40000,13.26620,0.26210,0.26163,33.52260,342.60000,22.45020,57.09480,1.58000,2128.90000,-9999.00000,6.16800,-9999.00000
90KD19920214,19920222,0000,-67.16570,-71.12070,29.20000,28.90740,0.06730,0.06630,33.70180,332.70000,24.23520,57.29080,1.67000,2149.10000,-9999.00000,5.75200,-9999.00000
90KD19920214,19920222,0000,-67.16570,-71.12070,59.40000,58.80050,-1.69330,-1.69447,33.93650,297.70000,28.09080,70.70700,1.94000,2189.10000,-9999.00000,4.67600,-9999.00000
90KD19920214,19920222,0000,-67.16570,-71.12070,78.30000,77.50620,-1.63340,-1.63500,33.96660,295.30000,28.72320,72.19660,1.94000,2192.70000,-9999.00000,4.60800,-9999.00000
90KD19920214,19920222,0000,-67.16570,-71.12070,104.20000,103.13700,-1.54250,-1.54476,34.04770,286.40000,29.33520,73.66660,1.98000,2203.20000,-9999.00000,4.41900,-9999.00000
90KD19920214,19920222,0000,-67.16570,-71.12070,153.80000,152.21300,-0.57920,-0.58395,34.25440,246.50000,31.30380,83.91740,2.13000,2228.30000,-9999.00000,3.00500,-9999.00000
90KD19920214,19920222,0000,-67.16570,-71.12070,204.80000,202.66200,0.30210,0.29408,34.43280,210.90000,32.81340,92.24740,2.23000,2243.10000,-9999.00000,1.63400,-9999.00000
90KD19920214,19920222,0000,-67.16570,-71.12070,254.50000,251.81300,0.91160,0.90015,34.56850,186.80000,33.52740,97.81380,2.26000,2252.30000,-9999.00000,0.76300,-9999.00000
90KD19920214,19920222,0000,-67.16570,-71.12070,305.00000,301.74300,1.21740,1.20273,34.64530,180.40000,33.15000,100.81300,2.24000,2263.50000,-9999.00000,0.39100,-9999.00000
90KD19920214,19920222,0000,-67.16570,-71.12070,380.70000,376.56500,1.29430,1.27547,34.68240,179.00000,33.02760,105.76200,2.23000,2265.90000,-9999.00000,0.22300,-9999.00000
90KD19920214,19920222,0000,-67.16570,-71.12070,438.70000,433.87500,1.32130,1.29927,34.70510,176.00000,32.92560,114.40500,2.26000,2268.20000,-9999.00000,0.11600,-9999.00000
90KD19920214,19920223,0000,-66.89450,-71.99830,10.80000,10.69250,-0.17560,-0.17594,33.54620,339.90000,22.89900,63.07280,1.66000,2136.00000,-9999.00000,6.16000,-9999.00000
90KD19920214,19920223,0000,-66.89450,-71.99830,46.30000,45.83500,-1.46350,-1.46449,33.86750,293.90000,27.64200,72.88260,1.96000,2181.50000,-9999.00000,4.33400,-9999.00000
90KD19920214,19920223,0000,-66.89450,-71.99830,71.00000,70.28280,-1.58440,-1.58588,33.95730,288.00000,28.83540,75.61680,2.05000,2192.10000,-9999.00000,4.31600,-9999.00000
90KD19920214,19920223,0000,-66.89450,-71.99830,91.80000,90.86800,-1.64540,-1.64728,33.98990,291.30000,29.09040,73.00020,2.06000,2195.60000,-9999.00000,4.55100,-9999.00000
90KD19920214,19920223,0000,-66.89450,-71.99830,126.40000,125.10600,-1.23770,-1.24081,34.09060,265.70000,30.05940,82.81980,2.12000,2211.20000,-9999.00000,3.62100,-9999.00000
90KD19920214,19920223,0000,-66.89450,-71.99830,162.40000,160.72400,-0.70710,-0.71194,34.22950,253.50000,31.02840,81.90840,2.18000,2221.10000,-9999.00000,3.28500,-9999.00000
90KD19920214,19920223,0000,-66.89450,-71.99830,202.00000,199.89600,0.12220,0.11461,34.39980,216.30000,32.53800,89.80720,2.28000,2242.40000,-9999.00000,1.88200,-9999.00000
90KD19920214,19920223,0000,-66.89450,-71.99830,252.80000,250.13600,0.78470,0.77361,34.54450,191.60000,33.44580,97.72560,2.34000,2255.40000,-9999.00000,0.93000,-9999.00000
90KD19920214,19920223,0000,-66.89450,-71.99830,302.80000,299.57300,1.13550,1.12116,34.62780,180.10000,33.53760,101.55700,2.33000,2264.20000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920223,0000,-66.89450,-71.99830,363.00000,359.07900,1.25640,1.23863,34.66760,179.70000,33.02760,105.83000,2.30000,2261.10000,-9999.00000,0.27200,-9999.00000
90KD19920214,19920223,0000,-66.89450,-71.99830,417.20000,412.64000,1.29130,1.27055,34.68190,170.60000,33.50700,117.08100,2.37000,2268.30000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920223,0000,-66.81400,-72.26100,12.80000,12.67250,0.46200,0.46152,33.58750,341.90000,23.98020,58.55500,1.68000,2138.80000,-9999.00000,5.99600,-9999.00000
90KD19920214,19920223,0000,-66.81400,-72.26100,42.60000,42.17280,-0.07660,-0.07802,33.78300,333.50000,26.37720,57.68280,1.84000,2158.80000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920223,0000,-66.81400,-72.26100,99.10000,98.09270,-1.41960,-1.42185,34.06240,284.70000,29.81460,69.25660,2.10000,2207.30000,-9999.00000,4.13900,-9999.00000
90KD19920214,19920223,0000,-66.81400,-72.26100,153.90000,152.31600,-0.67420,-0.67882,34.24280,248.40000,31.40580,82.55520,2.17000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920223,0000,-66.81400,-72.26100,204.50000,202.37000,0.24410,0.23620,34.41220,217.40000,32.44620,85.26980,2.25000,-9999.00000,-9999.00000,1.75400,-9999.00000
90KD19920214,19920223,0000,-66.81400,-72.26100,253.10000,250.43400,1.07750,1.06578,34.54430,195.20000,33.08880,86.29880,2.29000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920223,0000,-66.81400,-72.26100,313.40000,310.05400,1.55020,1.53425,34.64080,183.40000,32.92560,88.59200,2.27000,2251.70000,-9999.00000,0.38800,-9999.00000
90KD19920214,19920223,0000,-66.81400,-72.26100,378.10000,374.00500,1.53820,1.51876,34.67860,183.50000,32.41560,93.65860,2.26000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920223,0000,-66.81400,-72.26100,454.00000,449.00100,1.60210,1.57820,34.70880,188.80000,32.00760,94.68760,2.24000,2255.30000,-9999.00000,0.10700,-9999.00000
90KD19920214,19920223,0000,-66.81400,-72.26100,529.60000,523.67300,1.52320,1.49531,34.72110,188.80000,31.76280,97.21600,2.22000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920223,0000,-66.81400,-72.26100,605.10000,598.21900,1.31530,1.28407,34.72170,193.30000,31.65060,103.78200,2.21000,2253.50000,-9999.00000,0.03600,-9999.00000
90KD19920214,19920223,0000,-66.81400,-72.26100,681.20000,673.33100,1.09050,1.05615,34.71460,198.10000,31.65060,109.52500,2.20000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920223,0000,-66.81400,-72.26100,755.60000,746.73900,1.08650,1.04794,34.71730,198.60000,31.93620,110.69100,2.23000,2260.60000,-9999.00000,0.01800,-9999.00000
90KD19920214,19920223,0000,-66.81400,-72.26100,811.60000,801.97400,1.07650,1.03476,34.71710,199.00000,31.92600,110.86700,2.22000,2253.50000,-9999.00000,0.02600,-9999.00000
90KD19920214,19920223,0000,-66.78170,-72.26430,14.40000,14.25660,0.40200,0.40147,33.58570,342.20000,23.69460,59.08420,1.68000,2140.20000,-9999.00000,6.27200,-9999.00000
90KD19920214,19920223,0000,-66.78170,-72.26430,44.80000,44.35060,0.27710,0.27547,33.78430,334.90000,26.28540,56.14420,1.84000,2158.90000,-9999.00000,5.88000,-9999.00000
90KD19920214,19920223,0000,-66.78170,-72.26430,88.30000,87.40500,-1.48950,-1.49144,34.04320,285.40000,29.69220,69.47220,2.05000,-9999.00000,-9999.00000,4.23300,-9999.00000
90KD19920214,19920223,0000,-66.78170,-72.26430,125.80000,124.51400,-1.00090,-1.00427,34.18050,262.90000,30.86520,73.50980,2.12000,-9999.00000,-9999.00000,3.44500,-9999.00000
90KD19920214,19920223,0000,-66.78170,-72.26430,192.30000,190.30300,0.59190,0.58392,34.43790,212.10000,33.03780,79.66420,2.25000,2240.50000,-9999.00000,1.65200,-9999.00000
90KD19920214,19920223,0000,-66.78170,-72.26430,253.50000,250.83000,1.51620,1.50352,34.59960,193.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920223,0000,-66.78170,-72.26430,356.30000,352.46000,1.73200,1.71318,34.68160,179.90000,32.74200,88.37640,2.24000,2256.90000,-9999.00000,0.20700,-9999.00000
90KD19920214,19920223,0000,-66.78170,-72.26430,429.80000,425.09300,1.73500,1.71200,34.70370,182.20000,32.31360,90.10120,2.21000,-9999.00000,-9999.00000,0.13500,-9999.00000
90KD19920214,19920223,0000,-66.78170,-72.26430,503.80000,498.19400,1.67410,1.64706,34.71310,184.40000,31.98720,92.67860,2.18000,2254.10000,-9999.00000,0.09300,-9999.00000
90KD19920214,19920223,0000,-66.78170,-72.26430,598.60000,591.80400,1.59310,1.56089,34.71800,187.40000,31.75260,95.26580,2.18000,-9999.00000,-9999.00000,0.06500,-9999.00000
90KD19920214,19920223,0000,-66.78170,-72.26430,695.30000,687.24600,1.48820,1.45081,34.71970,189.80000,31.68120,98.27440,2.17000,2259.20000,-9999.00000,0.04800,-9999.00000
90KD19920214,19920223,0000,-66.78170,-72.26430,790.30000,780.96800,1.41230,1.36965,34.72200,191.70000,31.71180,100.43000,2.18000,-9999.00000,-9999.00000,0.04400,-9999.00000
90KD19920214,19920223,0000,-66.78170,-72.26430,885.00000,874.35200,1.28240,1.23485,34.72240,194.80000,31.79340,104.51700,2.18000,2256.70000,-9999.00000,0.03400,-9999.00000
90KD19920214,19920223,0000,-66.78170,-72.26430,1029.50000,1016.76000,1.12350,1.06826,34.71980,198.40000,31.87500,109.26000,2.18000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920223,0000,-66.78170,-72.26430,1176.20000,1161.24000,1.03450,0.97078,34.71660,199.90000,31.95660,111.86700,2.19000,-9999.00000,-9999.00000,0.02600,-9999.00000
90KD19920214,19920223,0000,-66.78170,-72.26430,1324.00000,1306.70000,0.96260,0.88999,34.71270,201.60000,31.88520,114.25800,2.19000,2258.00000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920223,0000,-66.78170,-72.26430,1426.00000,1407.03000,0.90860,0.82979,34.71170,203.10000,31.90560,116.01200,2.20000,2262.00000,-9999.00000,0.01600,-9999.00000
90KD19920214,19920223,0000,-66.78170,-72.26430,1524.30000,1503.67000,0.86670,0.78172,34.71050,203.20000,31.98720,117.55100,2.20000,2258.80000,-9999.00000,0.01700,-9999.00000
90KD19920214,19920224,0000,-66.73180,-72.23750,12.70000,12.57360,0.36300,0.36254,33.56280,342.70000,23.58240,59.15280,1.68000,2139.10000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920224,0000,-66.73180,-72.23750,32.10000,31.77910,0.69680,0.69552,33.77370,338.20000,26.18340,53.00820,1.82000,2153.80000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920224,0000,-66.73180,-72.23750,57.70000,57.11960,-1.11880,-1.12022,33.90560,325.80000,27.86640,50.44060,1.96000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920224,0000,-66.73180,-72.23750,82.20000,81.36830,-1.35460,-1.35649,34.00710,307.90000,29.46780,51.87140,2.05000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920224,0000,-66.73180,-72.23750,150.70000,149.15000,0.78770,0.78127,34.38160,218.70000,32.97660,70.28560,2.28000,2234.20000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920224,0000,-66.73180,-72.23750,198.20000,196.14000,1.68310,1.67302,34.54280,185.90000,33.81300,78.01780,2.34000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920224,0000,-66.73180,-72.23750,247.50000,244.89800,1.68610,1.67339,34.58930,182.00000,33.43560,81.54580,2.31000,2259.00000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920224,0000,-66.73180,-72.23750,287.20000,284.15300,1.90390,1.88851,34.63740,176.80000,33.31320,82.76100,2.29000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920224,0000,-66.73180,-72.23750,347.70000,343.96100,1.74000,1.72165,34.65880,179.60000,32.73180,86.72020,2.26000,2255.70000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920224,0000,-66.73180,-72.23750,449.60000,444.65600,1.77600,1.75172,34.69770,180.80000,32.15040,89.62100,2.23000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
90KD19920214,19920224,0000,-66.73180,-72.23750,603.20000,596.34700,1.67410,1.64122,34.71740,185.60000,31.51800,93.79580,2.18000,2255.10000,-9999.00000,-9999.00000,-9999.00000
