# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

90MS19811009,19811022,0000,-59.35000,5.28133,0.00000,0.00000,-1.95000,-1.95000,34.29900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2334.47000,-9999.00000,-9999.00000
90MS19811009,19811022,0000,-59.35000,5.28133,19.14520,19.00000,-1.85500,-1.85535,34.28600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2330.58000,-9999.00000,-9999.00000
90MS19811009,19811022,0000,-59.35000,5.28133,52.40160,52.00000,-1.85400,-1.85499,34.28600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2327.65000,-9999.00000,-9999.00000
90MS19811009,19811022,0000,-59.35000,5.28133,88.68700,88.00000,-1.85300,-1.85471,34.28800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2329.60000,-9999.00000,-9999.00000
90MS19811009,19811022,0000,-59.35000,5.28133,119.93800,119.00000,-1.09900,-1.10217,34.44300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2340.09000,-9999.00000,-9999.00000
90MS19811009,19811022,0000,-59.35000,5.28133,158.25100,157.00000,-0.23400,-0.23946,34.60600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2348.60000,-9999.00000,-9999.00000
90MS19811009,19811022,0000,-59.35000,5.28133,205.64800,204.00000,0.27800,0.26990,34.66100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2351.44000,-9999.00000,-9999.00000
90MS19811009,19811022,0000,-59.35000,5.28133,507.41500,503.00000,0.31500,0.29345,34.68500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2351.39000,-9999.00000,-9999.00000
90MS19811009,19811022,0000,-59.35000,5.28133,748.92700,742.00000,0.24700,0.21402,34.68000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2353.36000,-9999.00000,-9999.00000
90MS19811009,19811022,0000,-59.35000,5.28133,993.74000,984.00000,0.13700,0.09199,34.67900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2352.38000,-9999.00000,-9999.00000
90MS19811009,19811022,0000,-59.35000,5.28133,1516.64000,1500.00000,-0.06200,-0.13512,34.65500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2352.42000,-9999.00000,-9999.00000
90MS19811009,19811022,0000,-59.35000,5.28133,1995.01000,1971.00000,-0.20800,-0.31010,34.66400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2353.39000,-9999.00000,-9999.00000
90MS19811009,19811023,0000,-59.47850,4.00550,0.00000,0.00000,-1.80000,-1.80000,34.22200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2333.62000,-9999.00000,-9999.00000
90MS19811009,19811023,0000,-59.47850,4.00550,46.35460,46.00000,-1.84600,-1.84688,34.30600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2332.50000,-9999.00000,-9999.00000
