# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

CARBOGIB2005,20050504,0000,35.87600,-5.73800,10.08000,10.00000,16.88100,16.87930,36.34600,254.19000,0.40000,1.68000,-9999.00000,2084.30000,2377.68000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.87600,-5.73800,20.16000,20.00000,16.91500,16.91170,36.33800,240.44000,0.57000,-9999.00000,-9999.00000,2082.90000,2376.86000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.87600,-5.73800,30.24000,30.00000,16.72200,16.71700,36.32500,-9999.00000,0.92000,-9999.00000,-9999.00000,2087.70000,2376.14000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.87600,-5.73800,40.32000,40.00000,16.64400,16.63740,36.31600,-9999.00000,1.36000,-9999.00000,-9999.00000,2100.20000,2387.85000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.87600,-5.73800,50.40000,50.00000,16.63700,16.62880,36.30600,-9999.00000,2.71000,-9999.00000,-9999.00000,2095.70000,2383.44000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.87600,-5.73800,10.08000,10.00000,17.14800,17.14630,36.35400,250.01000,0.16000,1.23000,-9999.00000,2074.00000,2372.96000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.87600,-5.73800,50.40000,50.00000,15.91700,15.90900,36.30400,236.21000,1.75000,0.95000,-9999.00000,2112.00000,2383.51000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.87600,-5.73800,100.80000,100.00000,15.77700,15.76110,36.29900,-9999.00000,3.03000,2.03000,-9999.00000,2112.30000,2383.34000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.87600,-5.73800,141.13000,140.00000,15.66500,15.64280,36.30000,240.25000,2.45000,2.21000,-9999.00000,2111.10000,2377.08000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.87600,-5.73800,181.47000,180.00000,15.17300,15.14500,36.38100,199.25000,3.41000,1.66000,-9999.00000,2126.20000,2384.43000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.87600,-5.73800,10.88000,10.80000,17.25400,17.25220,36.32900,245.98000,0.16000,2.27000,-9999.00000,2077.90000,2379.05000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.87600,-5.73800,76.61000,76.00000,15.47100,15.45910,36.26600,229.28000,3.10000,2.03000,-9999.00000,2116.20000,2376.35000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.87600,-5.73800,141.13000,140.00000,14.95900,14.93750,36.20200,224.95000,4.13000,2.10000,-9999.00000,2121.90000,2373.76000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.88900,-5.73800,199.63000,198.00000,13.71100,13.68190,37.64600,197.40000,6.09000,5.82000,-9999.00000,2243.80000,2507.04000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.88900,-5.73800,246.03000,244.00000,13.36300,13.32750,37.88700,190.54000,8.46000,6.06000,-9999.00000,2265.50000,2532.24000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.88900,-5.73800,11.09000,11.00000,17.09000,17.08820,36.34000,241.65000,0.29000,1.07000,-9999.00000,2079.50000,2378.20000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.88900,-5.73800,75.40000,74.80000,14.62200,14.61070,36.27300,223.52000,6.86000,-9999.00000,-9999.00000,2129.30000,2376.91000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.88900,-5.73800,101.81000,101.00000,14.41700,14.40180,36.85000,216.50800,6.02000,6.85000,-9999.00000,2185.70000,2430.59000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.88900,-5.73800,148.19000,147.00000,13.32300,13.30170,38.27500,229.08500,9.53000,9.15000,-9999.00000,2325.90000,2585.71000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.88900,-5.73800,203.67000,202.00000,13.15500,13.12580,38.51400,169.47000,9.60000,5.84455,-9999.00000,2327.80000,2591.23000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.88900,-5.73800,10.38000,10.30000,17.35400,17.35230,36.26100,266.72000,0.65000,1.61000,-9999.00000,2076.60000,2375.76000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.88900,-5.73800,62.49000,62.00000,14.87700,14.86750,36.20400,259.51000,6.11000,2.28000,-9999.00000,2129.80000,2378.76000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.88900,-5.73800,100.80000,100.00000,13.98800,13.97320,37.26500,216.26000,6.58000,8.11000,-9999.00000,2213.20000,2467.25000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.88900,-5.73800,123.99000,123.00000,13.71400,13.69590,37.80900,226.51600,7.03000,6.43000,-9999.00000,2264.70000,2519.69000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.88900,-5.73800,151.22000,150.00000,13.49100,13.46910,38.11100,227.21900,8.67000,4.69000,-9999.00000,2304.40000,2560.08000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.88900,-5.73800,10.08000,10.00000,17.31300,17.31130,36.36000,272.58000,0.40000,-9999.00000,-9999.00000,2073.60000,2376.62000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.88900,-5.73800,60.48000,60.00000,15.42800,15.41860,36.32000,229.15000,4.64000,-9999.00000,-9999.00000,2113.90000,2378.49000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.88900,-5.73800,140.13000,139.00000,14.93000,14.90870,36.18900,234.05000,5.70000,2.33000,-9999.00000,2121.20000,2371.71000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.90900,-5.74400,221.82000,220.00000,14.19800,14.16500,37.02500,212.80000,8.11000,5.22000,-9999.00000,2189.60000,2446.15000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.90900,-5.74400,277.31000,275.00000,13.32100,13.28090,38.30700,174.73000,9.05000,8.62000,-9999.00000,2304.30000,2570.90000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.90900,-5.74400,10.08000,10.00000,16.38900,16.38740,36.31700,266.56000,1.51000,1.67000,-9999.00000,2088.20000,2370.85000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.90900,-5.74400,63.50000,63.00000,15.74100,15.73100,36.38100,234.74000,3.04000,2.91000,-9999.00000,2113.10000,2385.37000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.90900,-5.74400,93.74000,93.00000,14.22600,14.21210,37.31100,206.42000,6.94000,4.92000,-9999.00000,2215.40000,2474.65000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.90900,-5.74400,117.94000,117.00000,13.51400,13.49690,37.95400,186.97000,8.16000,7.34000,-9999.00000,2275.60000,2534.28000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.90900,-5.74400,252.09000,250.00000,13.11700,13.08090,38.50000,181.08000,9.35000,9.79000,-9999.00000,2318.10000,2587.14000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.90900,-5.74400,10.08000,10.00000,17.02100,17.01930,36.29500,253.81000,0.69000,2.47000,-9999.00000,2067.80000,2369.73000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.90900,-5.74400,54.43000,54.00000,14.66400,14.65580,36.48300,218.14000,6.17000,4.35000,-9999.00000,2151.80000,2403.26000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.90900,-5.74400,84.67000,84.00000,13.90400,13.89160,37.60400,203.52000,7.22000,5.93000,-9999.00000,2246.90000,2506.99000,-9999.00000,-9999.00000
CARBOGIB2005,20050504,0000,35.90900,-5.74400,114.92000,114.00000,13.50900,13.49240,38.14900,191.00000,7.41000,6.71000,-9999.00000,2297.60000,2558.63000,-9999.00000,-9999.00000
