# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

IcelandSea,19850222,2300,68.00000,-12.66670,0.00000,0.00000,-0.59000,-0.59000,34.54300,344.20000,9.24000,3.81000,0.60000,2115.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19850222,2300,68.00000,-12.66670,5.00000,5.00000,-0.56000,-0.56015,34.54400,344.20000,9.24000,3.90000,0.60000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19850222,2300,68.00000,-12.66670,10.00000,10.00000,-0.56000,-0.56030,34.54300,342.90000,9.34000,3.81000,0.60000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19850222,2300,68.00000,-12.66670,20.00000,20.00000,-0.56000,-0.56061,34.54200,344.60000,9.15000,2.96000,0.60000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19850222,2300,68.00000,-12.66670,30.00000,30.00000,-0.56000,-0.56091,34.54600,345.90000,9.05000,2.86000,0.60000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19850222,2300,68.00000,-12.66670,50.00000,50.00000,-0.56000,-0.56153,34.54300,343.70000,9.15000,2.86000,0.60000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19850222,2300,68.00000,-12.66670,75.00000,75.00000,-0.60000,-0.60229,34.54500,346.30000,9.05000,2.86000,0.60000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19850222,2300,68.00000,-12.66670,101.00000,100.00000,0.03000,0.02629,34.84700,325.00000,12.77000,6.86000,0.78000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19850222,2300,68.00000,-12.66670,151.00000,150.00000,-0.12000,-0.12542,34.86500,325.80000,12.77000,6.19000,0.78000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19850222,2300,68.00000,-12.66670,201.00000,200.00000,-0.17000,-0.17723,34.87700,322.30000,12.85000,6.95000,0.79000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19850222,2300,68.00000,-12.66670,292.00000,290.00000,-0.30000,-0.31043,34.88400,315.80000,12.95000,6.28000,0.78000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19850222,2300,68.00000,-12.66670,393.00000,390.00000,-0.30000,-0.31442,34.90000,309.30000,13.15000,6.67000,0.77000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19850222,2300,68.00000,-12.66670,593.00000,589.00000,-0.45000,-0.47211,34.91400,300.60000,13.91000,7.81000,0.83000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19850222,2300,68.00000,-12.66670,794.00000,788.00000,-0.62000,-0.64995,34.92200,295.40000,13.91000,8.52500,0.86000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19850222,2300,68.00000,-12.66670,995.00000,987.00000,-0.72000,-0.75853,34.92200,300.60000,14.09000,9.24000,0.84000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19851120,0800,68.00000,-12.66670,0.00000,0.00000,0.98000,0.98000,34.69000,325.90000,8.00000,2.66000,0.49000,2111.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19851120,0800,68.00000,-12.66670,5.00000,5.00000,0.99000,0.98978,34.69200,328.10000,8.00000,2.66000,0.49000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19851120,0800,68.00000,-12.66670,10.00000,10.00000,0.98000,0.97956,34.70700,316.30000,8.00000,2.86000,0.47000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19851120,0800,68.00000,-12.66670,20.00000,20.00000,0.98000,0.97913,34.69200,332.40000,8.00000,2.76000,0.48000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19851120,0800,68.00000,-12.66670,30.00000,30.00000,0.98000,0.97869,34.69200,334.10000,8.00000,2.76000,0.48000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19851120,0800,68.00000,-12.66670,50.00000,50.00000,0.98000,0.97780,34.70200,346.30000,8.00000,2.86000,0.47000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19851120,0800,68.00000,-12.66670,75.00000,75.00000,0.99000,0.98668,34.69200,338.90000,8.00000,2.76000,0.47000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19851120,0800,68.00000,-12.66670,101.00000,100.00000,0.99000,0.98550,34.70800,333.70000,8.10000,2.86000,0.47000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19851120,0800,68.00000,-12.66670,151.00000,150.00000,-0.08000,-0.08547,34.85900,316.70000,12.67000,5.81000,0.80000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19851120,0800,68.00000,-12.66670,201.00000,200.00000,-0.09000,-0.09737,34.87900,308.00000,13.53000,6.10000,0.81000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19851120,0800,68.00000,-12.66670,292.00000,290.00000,-0.22000,-0.23063,34.88100,305.40000,13.62000,6.48000,0.88000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19851120,0800,68.00000,-12.66670,393.00000,390.00000,-0.28000,-0.29448,34.89200,301.50000,13.71000,6.86000,0.84000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19851120,0800,68.00000,-12.66670,574.00000,570.00000,-0.47000,-0.49122,34.92400,298.00000,14.09000,7.90000,0.84000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19851120,0800,68.00000,-12.66670,806.00000,800.00000,-0.60000,-0.63061,34.91100,294.10000,14.19000,8.57000,0.88000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IcelandSea,19851120,0800,68.00000,-12.66670,1008.00000,1000.00000,-0.71000,-0.74923,34.91900,297.57700,14.38000,9.24000,0.89000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
