# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

IrmingerSea,19830305,0400,64.40000,-26.00000,0.00000,0.00000,5.00000,5.00000,35.07400,313.30000,13.90000,7.43000,-9999.00000,2101.00000,-9999.00000,-9999.00000,-9999.00000
IrmingerSea,19830305,0400,64.40000,-26.00000,1.00000,1.00000,5.01000,5.00992,35.07800,314.00900,13.90300,7.41601,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IrmingerSea,19830305,0400,64.40000,-26.00000,20.00000,20.00000,4.84000,4.83848,35.07500,322.00000,13.90000,7.24000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IrmingerSea,19830305,0400,64.40000,-26.00000,50.00000,50.00000,4.73000,4.72624,35.05600,318.10000,13.71000,7.24000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IrmingerSea,19830305,0400,64.40000,-26.00000,101.00000,100.00000,4.67000,4.66242,35.04200,322.90000,13.61000,7.81000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IrmingerSea,19830305,0400,64.40000,-26.00000,151.00000,150.00000,4.62000,4.60867,35.04700,318.50000,13.61000,7.33000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IrmingerSea,19830305,0400,64.40000,-26.00000,201.00000,200.00000,4.55000,4.53496,35.02800,318.50000,13.52000,7.24000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IrmingerSea,19830305,0400,64.40000,-26.00000,302.00000,300.00000,4.34000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
IrmingerSea,19830528,2000,64.33330,-27.90000,0.00000,0.00000,7.22000,7.22000,35.10600,413.40000,4.66000,0.38000,0.30000,2031.00000,-9999.00000,-9999.00000,-9999.00000
IrmingerSea,19830528,2000,64.33330,-27.90000,10.00000,10.00000,7.12000,7.11906,35.11000,384.05000,5.71000,0.48000,0.31500,-9999.00000,-9999.00000,-9999.00000,-9999.00000
