# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

OMEX1NS,19940312,0000,70.33170,18.94830,0.50000,0.50000,4.08000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.33170,18.94830,5.00000,5.00000,4.06900,4.06865,34.47000,-9999.00000,-9999.00000,3.71160,0.60558,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.33170,18.94830,10.10000,10.00000,4.07200,4.07131,34.47800,-9999.00000,-9999.00000,3.71158,0.60557,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.33170,18.94830,15.10000,15.00000,4.08400,4.08296,34.48500,-9999.00000,-9999.00000,3.71157,0.60557,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.33170,18.94830,20.20000,20.00000,4.08300,4.08161,34.48800,-9999.00000,-9999.00000,3.71155,0.60557,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.33170,18.94830,30.20000,30.00000,4.11600,4.11391,34.50100,-9999.00000,-9999.00000,3.71152,0.60556,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.33170,18.94830,40.30000,40.00000,4.10600,4.10321,34.49700,-9999.00000,-9999.00000,3.71153,0.60557,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.33170,18.94830,50.40000,50.00000,4.09200,4.08852,34.50100,-9999.00000,-9999.00000,3.71152,0.67393,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.33170,18.94830,75.60000,75.00000,4.07700,4.07177,34.50100,-9999.00000,-9999.00000,3.71152,0.61533,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.33170,18.94830,100.80000,100.00000,4.08200,4.07500,34.48500,-9999.00000,-9999.00000,3.71156,0.61534,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.33170,18.94830,151.20000,150.00000,4.08700,4.07643,34.51300,-9999.00000,-9999.00000,3.80915,0.60556,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.36670,18.20000,0.50000,0.50000,4.23100,4.23096,34.44700,-9999.00000,-9999.00000,3.71167,0.59582,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.36670,18.20000,5.00000,5.00000,4.21500,4.21465,34.44000,-9999.00000,-9999.00000,3.71168,0.62513,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.36670,18.20000,10.10000,10.00000,4.23600,4.23530,34.44100,-9999.00000,-9999.00000,3.71168,0.15628,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.36670,18.20000,15.10000,15.00000,4.27500,4.27394,34.43500,-9999.00000,-9999.00000,3.71170,0.61536,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.36670,18.20000,20.20000,20.00000,4.32300,4.32158,34.45600,-9999.00000,-9999.00000,3.71164,0.61535,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.36670,18.20000,30.20000,30.00000,4.37400,4.37185,34.44400,-9999.00000,-9999.00000,3.71167,0.60559,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.36670,18.20000,40.30000,40.00000,4.42900,4.42611,34.47800,-9999.00000,-9999.00000,3.71158,0.61534,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.36670,18.20000,50.40000,50.00000,4.47000,4.46637,34.48600,-9999.00000,-9999.00000,3.80923,0.63487,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.36670,18.20000,75.60000,75.00000,4.56300,4.55748,34.49500,-9999.00000,-9999.00000,3.80921,0.62510,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.36670,18.20000,100.80000,100.00000,4.93500,4.92730,34.60600,-9999.00000,-9999.00000,4.19955,0.68365,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.41000,17.29830,0.50000,0.50000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.41000,17.29830,5.00000,5.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.41000,17.29830,10.10000,10.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.41000,17.29830,15.10000,15.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.41000,17.29830,20.20000,20.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX1NS,19940312,0000,70.41000,17.29830,30.20000,30.00000,4.92400,4.92172,34.48800,-9999.00000,-9999.00000,3.90690,0.64464,-9999.00000,-9999.00000,-9999.00000,-9999.00000
