# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

OMEX2,19970620,0000,42.49190,-9.42913,4.13120,4.10000,18.85100,18.85030,35.30800,233.69800,-9999.00000,1.15671,0.03124,-9999.00000,2305.93000,-9999.00000,-9999.00000
OMEX2,19970620,0000,42.49190,-9.42913,10.17700,10.10000,18.85500,18.85320,35.30400,235.90300,-9999.00000,1.11767,0.01757,-9999.00000,2304.85000,-9999.00000,-9999.00000
OMEX2,19970620,0000,42.49190,-9.42913,19.14520,19.00000,18.55400,18.55060,35.52700,236.59700,-9999.00000,1.04917,0.01269,-9999.00000,2321.06000,-9999.00000,-9999.00000
OMEX2,19970620,0000,42.49190,-9.42913,28.01310,27.80000,17.61400,17.60930,35.88700,243.30200,0.03903,0.93668,0.00781,-9999.00000,2334.68000,-9999.00000,-9999.00000
OMEX2,19970620,0000,42.49190,-9.42913,37.58670,37.30000,17.04600,17.03980,35.90600,245.40000,0.04878,0.92203,0.00976,-9999.00000,2337.97000,-9999.00000,-9999.00000
OMEX2,19970620,0000,42.49190,-9.42913,60.36370,59.90000,15.38800,15.37870,35.91900,236.00300,1.71233,1.26352,0.11025,-9999.00000,2335.88000,-9999.00000,-9999.00000
OMEX2,19970620,0000,42.49190,-9.42913,80.21980,79.60000,14.30700,14.29520,35.90500,228.10100,3.88816,1.70259,0.22148,-9999.00000,2336.41000,-9999.00000,-9999.00000
OMEX2,19970620,0000,42.49190,-9.42913,99.77540,99.00000,13.99200,13.97750,35.89000,226.99800,5.21516,1.98069,0.31515,-9999.00000,2333.50000,-9999.00000,-9999.00000
OMEX2,19970620,0000,42.49190,-9.42913,151.09200,149.90000,13.04900,13.02800,35.80300,221.70200,8.10866,2.74680,0.48984,-9999.00000,2329.95000,-9999.00000,-9999.00000
OMEX2,19970620,0000,42.49190,-9.42913,200.80700,199.20000,12.63600,12.60870,35.76100,220.60000,9.06032,3.21527,0.56597,-9999.00000,2326.15000,-9999.00000,-9999.00000
OMEX2,19970620,0000,42.49190,-9.42913,402.80900,399.40000,11.59100,11.53880,35.63900,215.79600,12.36940,4.73795,0.76315,-9999.00000,2316.58000,-9999.00000,-9999.00000
OMEX2,19970620,0000,42.49190,-9.42913,595.50100,590.20000,11.24100,11.16460,35.74800,199.80000,14.24690,6.37693,0.88506,-9999.00000,2333.76000,-9999.00000,-9999.00000
OMEX2,19970621,0000,41.99580,-8.99938,50.99060,50.60000,14.44900,14.44140,35.91100,202.75100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX2,19970621,0000,41.99580,-8.99938,90.60220,89.90000,13.05900,13.04650,35.80400,216.88200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX2,19970621,0000,42.00040,-9.23514,9.67318,9.60000,18.57500,18.57330,35.44700,235.19900,-9999.00000,0.80034,0.01269,-9999.00000,2318.09000,-9999.00000,-9999.00000
OMEX2,19970621,0000,42.00040,-9.23514,19.74990,19.60000,18.12700,18.12360,35.72200,236.80200,-9999.00000,0.80018,0.00585,-9999.00000,2323.36000,-9999.00000,-9999.00000
OMEX2,19970621,0000,42.00040,-9.23514,41.01320,40.70000,16.59200,16.58530,35.89000,241.00200,-9999.00000,0.80008,0.00781,-9999.00000,2340.24000,-9999.00000,-9999.00000
OMEX2,19970621,0000,42.00040,-9.23514,59.65810,59.20000,15.14000,15.13090,35.92400,238.80400,-9999.00000,0.90739,0.06440,-9999.00000,2343.98000,-9999.00000,-9999.00000
OMEX2,19970621,0000,42.00040,-9.23514,79.31270,78.70000,14.41300,14.40130,35.96900,221.29800,-9999.00000,2.13668,0.30148,-9999.00000,2343.32000,-9999.00000,-9999.00000
OMEX2,19970621,0000,42.00040,-9.23514,99.27140,98.50000,14.23900,14.22440,35.96300,210.90000,-9999.00000,3.20015,0.41270,-9999.00000,2343.43000,-9999.00000,-9999.00000
OMEX2,19970621,0000,42.00040,-9.23514,120.44200,119.50000,13.98700,13.96950,35.93700,209.69500,-9999.00000,3.23924,0.41954,-9999.00000,2341.55000,-9999.00000,-9999.00000
OMEX2,19970621,0000,42.00040,-9.23514,140.70700,139.60000,13.73200,13.71180,35.89600,215.90500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX2,19970621,0000,41.99640,-9.35685,80.01820,79.40000,15.06800,15.05580,35.92300,242.93100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX2,19970621,0000,41.99640,-9.35685,246.49800,244.50000,12.46300,12.42970,35.72300,223.41000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX2,19970621,0000,41.99810,-9.66634,1010.34000,1000.40000,11.34200,11.20880,36.18300,185.34200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX2,19970621,0000,41.99810,-9.66634,1429.10000,1413.70000,7.42200,7.27088,35.55300,213.83600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX2,19970621,0000,42.00300,-10.00990,404.32300,400.90000,11.39800,11.34620,35.59200,219.72000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX2,19970621,0000,42.00300,-10.00990,858.55400,850.40000,11.67300,11.55860,36.12900,185.75900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX2,19970621,0000,42.00300,-10.00990,1008.92000,999.00000,10.68000,10.55190,36.01000,185.54400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX2,19970621,0000,42.00300,-10.00990,1437.32000,1421.80000,7.26500,7.11457,35.54600,215.41700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14780,-8.95994,8.66553,8.60000,18.09900,18.09750,35.50300,236.30300,-9999.00000,1.21023,0.05856,-9999.00000,2321.39000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14780,-8.95994,19.04450,18.90000,17.46600,17.46280,35.83200,225.19500,-9999.00000,2.13202,0.13563,-9999.00000,2338.68000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14780,-8.95994,39.40070,39.10000,14.72500,14.71910,35.92500,199.58800,-9999.00000,4.30276,0.48784,-9999.00000,2340.17000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14780,-8.95994,59.45660,59.00000,13.54400,13.53560,35.86800,203.50400,-9999.00000,4.22489,0.55129,-9999.00000,2337.74000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14780,-8.95994,79.41350,78.80000,12.89900,12.88810,35.78100,210.50200,-9999.00000,4.18613,0.61475,-9999.00000,2331.06000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14780,-8.95994,84.45340,83.80000,12.89300,12.88140,35.78200,210.80300,-9999.00000,4.15197,0.57864,-9999.00000,2333.02000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14640,-9.04945,8.56477,8.50000,18.55700,18.55550,35.47800,232.69600,-9999.00000,1.02481,0.04490,-9999.00000,2328.07000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14640,-9.04945,18.94370,18.80000,18.20200,18.19870,35.65200,233.20100,-9999.00000,1.01004,0.05465,-9999.00000,2332.26000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14640,-9.04945,38.99760,38.70000,16.99600,16.98950,35.87200,235.90200,-9999.00000,1.06354,0.05854,-9999.00000,2342.03000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14640,-9.04945,59.65810,59.20000,15.85200,15.84260,35.89300,231.29700,-9999.00000,1.34160,0.10830,-9999.00000,2339.55000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14640,-9.04945,79.01030,78.40000,14.61100,14.59920,35.89800,204.89800,-9999.00000,3.11737,0.42053,-9999.00000,2339.25000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14640,-9.04945,99.67460,98.90000,13.33800,13.32400,35.83900,204.50300,-9999.00000,4.08838,0.59618,-9999.00000,2339.84000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14640,-9.04945,119.83700,118.90000,12.59800,12.58180,35.74400,213.90300,-9999.00000,3.90326,0.61867,-9999.00000,2336.20000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14970,-9.14245,9.06859,9.00000,18.56700,18.56540,35.41500,231.70300,-9999.00000,1.03462,0.02733,-9999.00000,2323.11000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14970,-9.14245,20.05220,19.90000,18.32400,18.32050,35.58200,231.30000,-9999.00000,0.94665,0.03123,-9999.00000,2332.19000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14970,-9.14245,39.50150,39.20000,17.75200,17.74530,35.81700,229.10200,-9999.00000,0.94161,0.04489,-9999.00000,2338.61000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14970,-9.14245,58.95260,58.50000,16.61700,16.60740,35.86700,220.89600,-9999.00000,1.57092,0.15807,-9999.00000,2340.18000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14970,-9.14245,79.71590,79.10000,15.41000,15.39770,35.90500,211.00100,-9999.00000,2.24898,0.26637,-9999.00000,2339.83000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14970,-9.14245,99.27140,98.50000,14.31900,14.30440,35.93000,203.70200,-9999.00000,3.12705,0.42052,-9999.00000,2340.36000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14970,-9.14245,140.50500,139.40000,12.97100,12.95160,35.79100,215.30300,-9999.00000,3.31278,0.54644,-9999.00000,2337.98000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.13940,-9.15943,9.37088,9.30000,18.58500,18.58340,35.39800,232.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2320.11000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.13940,-9.15943,39.60230,39.30000,17.90300,17.89620,35.78600,228.90100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2340.52000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.13940,-9.15943,59.96050,59.50000,16.90600,16.89610,35.86000,225.98400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.13940,-9.15943,69.13240,68.60000,15.89200,15.88110,35.88800,216.70200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15250,-9.32082,9.37088,9.30000,18.44400,18.44240,35.48800,234.59900,-9999.00000,1.03456,0.01074,-9999.00000,2319.17000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15250,-9.32082,18.94370,18.80000,18.29300,18.28970,35.57900,239.70300,-9999.00000,0.99057,0.02440,-9999.00000,2328.29000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15250,-9.32082,39.30000,39.00000,16.95500,16.94850,35.89700,238.09800,-9999.00000,1.07815,0.06049,-9999.00000,2341.98000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15250,-9.32082,59.45660,59.00000,15.67700,15.66770,35.92000,228.79900,-9999.00000,1.47329,0.14245,-9999.00000,2337.65000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15250,-9.32082,79.41350,78.80000,14.13200,14.12040,35.95200,210.89700,-9999.00000,3.01480,0.41856,-9999.00000,2341.48000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15250,-9.32082,100.07800,99.30000,13.99900,13.98450,35.94200,212.99600,-9999.00000,3.11727,0.45954,-9999.00000,2337.51000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15250,-9.32082,150.99100,149.80000,13.63200,13.61040,35.88100,213.09700,-9999.00000,3.13693,0.50932,-9999.00000,2337.72000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15250,-9.32082,201.71500,200.10000,12.91400,12.88620,35.78000,215.79900,-9999.00000,3.72751,0.62646,-9999.00000,2333.01000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15250,-9.32082,212.30500,210.60000,12.77400,12.74490,35.76400,215.50300,-9999.00000,3.86905,0.62256,-9999.00000,2336.07000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15880,-9.34258,8.76630,8.70000,18.48500,18.48350,35.46800,235.56700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15880,-9.34258,19.54830,19.40000,17.85500,17.85170,35.77600,239.04800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15880,-9.34258,39.19920,38.90000,16.06800,16.06180,35.92000,239.81300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15880,-9.34258,58.75110,58.30000,15.05100,15.04200,35.94900,238.16600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15450,-9.73214,100.27900,99.50000,13.82100,13.80660,35.88000,223.09700,-9999.00000,2.20512,0.39126,-9999.00000,2340.65000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15450,-9.73214,125.28100,124.30000,13.52300,13.50520,35.84900,222.90300,-9999.00000,2.44423,0.43225,-9999.00000,2337.77000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15450,-9.73214,150.38600,149.20000,13.30800,13.28690,35.82900,221.30000,-9999.00000,2.59062,0.52203,-9999.00000,2341.91000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15450,-9.73214,200.90800,199.30000,12.85100,12.82340,35.77700,220.44500,-9999.00000,2.97616,0.59035,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15450,-9.73214,402.70800,399.30000,11.57800,11.52590,35.63200,215.09600,-9999.00000,4.04509,0.74461,-9999.00000,2327.61000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15450,-9.73214,604.59400,599.20000,11.10700,11.03000,35.73300,196.49700,-9999.00000,6.14280,-9999.00000,-9999.00000,2338.85000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15450,-9.73214,806.66600,799.10000,11.51500,11.40870,36.07000,185.80400,-9999.00000,6.91198,0.91607,-9999.00000,2370.75000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15450,-9.73214,906.50700,897.80000,11.33500,11.21610,36.12000,185.19700,-9999.00000,7.40437,0.96579,-9999.00000,2375.93000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15450,-9.73214,1009.43000,999.50000,11.12700,10.99550,36.14200,183.50300,-9999.00000,8.09687,0.98431,-9999.00000,2377.94000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15450,-9.73214,1110.98000,1099.80000,10.66800,10.52630,36.08100,185.80200,-9999.00000,8.78502,0.97459,-9999.00000,-9999.00000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15450,-9.73214,1263.55000,1250.40000,9.17200,9.02341,35.82900,197.89600,-9999.00000,10.01120,1.07430,-9999.00000,2360.74000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.15450,-9.73214,1452.23000,1436.50000,7.84900,7.69057,35.65300,212.70000,-9999.00000,10.46630,1.11153,-9999.00000,2339.09000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14820,-9.73628,8.66553,8.60000,18.75300,18.75150,35.74200,237.30200,-9999.00000,1.00509,0.05660,-9999.00000,2333.96000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14820,-9.73628,18.54060,18.40000,18.39900,18.39580,35.79500,237.70100,-9999.00000,0.94163,0.03318,-9999.00000,2337.18000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14820,-9.73628,40.10620,39.80000,17.55600,17.54920,35.86800,244.80300,-9999.00000,0.85864,0.02439,-9999.00000,2342.72000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14820,-9.73628,58.75110,58.30000,16.31200,16.30250,35.88000,249.39700,-9999.00000,0.89278,0.04293,-9999.00000,2341.33000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14820,-9.73628,79.01030,78.40000,14.85200,14.84010,35.89700,246.49900,-9999.00000,1.02449,0.07025,-9999.00000,2339.15000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14820,-9.73628,99.37220,98.60000,14.06900,14.05450,35.89600,228.50000,-9999.00000,1.72212,0.26929,-9999.00000,2340.52000,-9999.00000,-9999.00000
OMEX2,19970622,0000,42.14820,-9.73628,201.21000,199.60000,12.68300,12.65560,35.75700,214.89700,-9999.00000,3.31774,-9999.00000,-9999.00000,2334.13000,-9999.00000,-9999.00000
OMEX2,19970623,0000,42.15060,-10.30440,9.27012,9.20000,18.15700,18.15540,35.88000,236.60000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2343.38000,-9999.00000,-9999.00000
OMEX2,19970623,0000,42.15060,-10.30440,59.85970,59.40000,14.93200,14.92290,35.90100,249.90100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2345.10000,-9999.00000,-9999.00000
OMEX2,19970623,0000,42.14920,-10.31000,100.27900,99.50000,13.54600,13.53180,35.83600,233.59900,-9999.00000,1.85880,0.33273,-9999.00000,2338.77000,-9999.00000,-9999.00000
OMEX2,19970623,0000,42.14920,-10.31000,124.97800,124.00000,13.18200,13.16460,35.78500,235.19700,-9999.00000,1.93693,0.35909,-9999.00000,2338.96000,-9999.00000,-9999.00000
