# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

ZZIC2005SWYD,20050502,0000,86.25000,-73.16700,10.30000,10.00000,-1.73970,-1.73985,31.74150,366.50000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
ZZIC2005SWYD,20050502,0000,86.25000,-73.16700,94.30000,93.00000,-1.53010,-1.53191,32.76650,267.00000,10.81640,22.07280,1.64299,-9999.00000,-9999.00000,6.59700,3.58800
ZZIC2005SWYD,20050502,0000,86.25000,-73.16700,106.70000,106.00000,-1.56550,-1.56762,33.24850,254.30000,10.37400,18.35910,1.42399,-9999.00000,-9999.00000,-9999.00000,-9999.00000
ZZIC2005SWYD,20050502,0000,86.25000,-73.16700,140.30000,139.00000,-1.56300,-1.56602,33.90970,305.90000,9.17538,8.29595,0.83057,-9999.00000,-9999.00000,6.40200,3.22000
ZZIC2005SWYD,20050502,0000,86.25000,-73.16700,199.00000,197.00000,-0.36190,-0.36856,34.43530,280.40000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
ZZIC2005SWYD,20050502,0000,86.25000,-73.16700,300.00000,297.00000,0.60560,0.59264,34.78130,281.20000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
ZZIC2005SWYD,20050502,0000,86.25000,-73.16700,326.00000,322.00000,0.69660,0.68216,34.83090,285.30000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
ZZIC2005SWYD,20050502,0000,86.25000,-73.16700,612.90000,605.00000,0.36230,0.33525,34.87230,290.70000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
ZZIC2005SWYD,20050503,0000,84.45000,-65.23300,11.50000,11.00000,-1.74600,-1.74617,31.81800,402.20000,0.66549,1.16461,0.57741,-9999.00000,-9999.00000,-9999.00000,-9999.00000
ZZIC2005SWYD,20050503,0000,84.45000,-65.23300,79.00000,78.00000,-1.54170,-1.54312,32.26870,322.20000,5.02864,8.64848,1.05660,-9999.00000,-9999.00000,6.94500,3.74400
ZZIC2005SWYD,20050503,0000,84.45000,-65.23300,128.00000,127.00000,-1.45270,-1.45547,33.51890,278.40000,7.53596,12.68700,0.95788,-9999.00000,-9999.00000,5.88800,2.98200
ZZIC2005SWYD,20050503,0000,84.45000,-65.23300,153.30000,152.00000,-1.44190,-1.44540,33.97300,296.10000,10.08360,10.07390,0.90870,-9999.00000,-9999.00000,5.93700,2.86100
ZZIC2005SWYD,20050503,0000,84.45000,-65.23300,240.80000,238.00000,0.14360,0.13430,34.67570,280.30000,12.44170,7.64669,0.90823,-9999.00000,-9999.00000,-9999.00000,-9999.00000
ZZIC2005SWYD,20050503,0000,84.45000,-65.23300,328.80000,325.00000,0.73110,0.71644,34.82610,290.30000,10.81940,4.41369,0.80071,-9999.00000,-9999.00000,3.52200,1.80200
ZZIC2005SWYD,20050503,0000,84.45000,-65.23300,500.10000,494.00000,0.46620,0.44421,34.86110,290.60000,9.77430,3.81794,0.75187,-9999.00000,-9999.00000,1.90500,1.20300
ZZIC2005SWYD,20050503,0000,84.45000,-65.23300,608.40000,601.00000,0.36700,0.34015,34.87080,293.50000,9.05166,3.32968,0.70304,-9999.00000,-9999.00000,1.70700,0.88900
ZZIC2005SWYD,20050505,0000,85.08300,-69.05000,10.20000,10.00000,-1.75270,-1.75285,31.94770,384.90000,1.70271,3.61091,0.86114,-9999.00000,-9999.00000,7.82200,4.21900
ZZIC2005SWYD,20050505,0000,85.08300,-69.05000,69.50000,69.00000,-1.74990,-1.75097,31.95540,371.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
ZZIC2005SWYD,20050505,0000,85.08300,-69.05000,84.70000,84.00000,-1.59740,-1.59888,32.23130,317.70000,6.53546,12.26870,1.23274,-9999.00000,-9999.00000,7.16100,3.96800
ZZIC2005SWYD,20050505,0000,85.08300,-69.05000,101.60000,100.00000,-1.60970,-1.61160,32.87800,289.70000,12.02810,24.46690,1.67220,-9999.00000,-9999.00000,6.98000,3.70900
